Correlations ^nns+nom+++=Correlations
between ^in++++=between
maternal ^jj+atrb+++=maternal
traits ^nns++++=traits
were ^vbd+bed+aux++=were
tested ^vpsv++agls+xvbnx+=tested
using ^vbg+++xvbg+=using
Spearman ^np+nom+++=Spearman's
's ^$++++=EXTRAWORD
coefficients ^nns++++=coefficients.
. ^zz++++=EXTRAWORD
Mean ^jj+atrb+++=Mean
neonatal ^jj+atrb+++=neonatal
size ^nn++++=size
was ^vbd+bedz+aux++=was
described ^vpsv++agls+xvbnx+=described
( ^zz++++=(mean,
mean ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sd ^np+++??+=SD)
) ^zz++++=EXTRAWORD
across ^in+pl+++=across
categories ^nns++++=categories
of ^in++++=of
maternal ^jj+atrb+++=maternal
phenotype ^nn+++??+=phenotype,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trends ^nns++++=trends
were ^vbd+bed+vrb++=were
analyzed ^jj+atrb+++=analyzed
fitting ^jj+atrb+++=fitting
linear ^jj+atrb+++=linear
regression ^nn++++=regression
models ^nns++++=models.
. ^zz++++=EXTRAWORD
