Mothers ^nns+nom+++=Mothers
from ^in++++=from
poorer ^jjr+atrb+++=poorer
households ^nns++++=households,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
husbands ^nns++++=husbands
were ^vbd+bed+vrb++=were
uneducated ^jj+pred+++=uneducated,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
reduced ^jj+atrb++xvbn+=reduced
likelihood ^nn+nom+++=likelihood
of ^in++++=of
undergoing ^xvbg+++xvbg+=undergoing
either ^dtx++++=either
episiotomy ^nn+++??+=episiotomy
or ^cc++++=or
cesarean ^jj+atrb+++=cesarean
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
able ^jj++++=able
to ^to+jcmp+++=to
access ^vb++++=access
these ^dt+dem+++=these
medical ^jj+atrb+++=medical
facilities ^nns+nom+++=facilities,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pay ^nn++++=pay
for ^in++++=for
these ^dt+dem+++=these
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
might ^md+pos+++=might
also ^rb++++=also
have ^vb+hv+vrb++=have
less ^rbr++++=less
knowledge ^nn++++=knowledge
about ^in++++=about
their ^pp$+pp3+++=their
availability ^nn+nom+++=availability
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^in++++=to
access ^nn++++=access
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
mothers ^nns+nom+++=mothers
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
less ^rbr++++=less
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whose ^whp+who+++=whose
husbands ^nns++++=husbands
had ^vb+hv+vrb++=had
less ^rbr++++=less
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
less ^rbr++++=less
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
benefit ^vb++++=benefit
from ^in++++=from
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
Sba ^np+++??+=SBA.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
national ^jj+atrb+++=national
legislation ^nn+nom+++=legislation
promoting ^vwbg+++xvbg+=promoting
Sbas ^np+++??+=SBAs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
source ^nn++++=source
of ^in++++=of
assistance ^nn+nom+++=assistance
varied ^vbd+++xvbn+=varied
widely ^rb++++=widely
during ^in++++=during
delivery ^nn+nom+++=delivery
and ^cc++++=and
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
availability ^nn+nom+++=availability
of ^in++++=of
medical ^jj+atrb+++=medical
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
the ^ati++++=the
early ^jj++++=early
20th ^cd++++=20th
century ^nn++++=century
in ^in++++=in
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
( ^zz++++=(Reid,
reid ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Reid ^np++++=Reid,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
obstructed ^vbd+++xvbn+=obstructed
labor ^nn++++=labor
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
itself ^ppl++++=itself
vary ^vb++++=vary
across ^in+pl+++=across
the ^ati++++=the
wealth ^nn++++=wealth
quintiles ^nns+++??+=quintiles.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
wealth ^nn++++=wealth
differences ^nns+nom+++=differences
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
account ^nn++++=account
for ^in++++=for
variability ^nn+nom+++=variability
in ^in++++=in
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
cause ^nn++++=cause
of ^in++++=of
childbirth ^nn++++=childbirth
complications ^nns+nom+++=complications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
instead ^rb+cnj+++=instead
wealth ^nn++++=wealth
predicted ^vbd+++xvbn+=predicted
variability ^nn+nom+++=variability
in ^in++++=in
the ^ati++++=the
treatment ^nn+nom+++=treatment
provided ^vbd+vsua++xvbn+=provided.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
clear ^jj++++=clear
why ^wrb+who+++=why
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
obstructed ^vbd+++xvbn+=obstructed
labor ^nn++++=labor
was ^vbd+bedz+aux++=was
reduced ^vpsv++agls+xvbnx+=reduced
among ^in++++=among
women ^nns++++=women
whose ^whp+rel+obj++=whose
husbands ^nns++++=husbands
were ^vbd+bed+vrb++=were
uneducated ^jj+pred+++=uneducated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
association ^nn+nom+++=association
disappeared ^vbd+seem++xvbn+=disappeared
following ^jj+atrb++xvbg+=following
adjustment ^nn+nom+++=adjustment
for ^in++++=for
maternal ^jj+atrb+++=maternal
Bmi ^np+++??+=BMI,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
either ^dtx++++=either
that ^cs+sub+++=that
these ^dt+dem+++=these
women ^nns++++=women
were ^vbd+bed+vrb++=were
thinner ^jjr+pred+++=thinner,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
simply ^rb++++=simply
the ^ati++++=the
reduced ^jj+atrb+++=reduced
sample ^nn++++=sample
size ^nn++++=size.
. ^zz++++=EXTRAWORD
