Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
Cytomegalovirus ^np+++??+=Cytomegalovirus
( ^zz++++=(CMV)
cmv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
infection ^nn++++=infection
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
age ^nn++++=age-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
co ^nn++++=co-infection
- ^zz++++=EXTRAWORD
infection ^nn++++=EXTRAWORD
with ^in++++=with
Epstein ^np+++??+=Epstein-Barr
- ^zz++++=EXTRAWORD
barr ^np++++=EXTRAWORD
virus ^nn++++=virus
( ^zz++++=(EBV)
ebv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
may ^md+pos+++=may
compound ^vb++++=compound
disease ^nn++++=disease
risk ^nn++++=risk.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
Cmv ^np+++??+=CMV
infection ^nn++++=infection
and ^cc++++=and
its ^pp$+it+++=its
relationship ^nn++++=relationship
with ^in++++=with
age ^nn++++=age
among ^in++++=among
ebv ^np++++=EBV
seropositive ^nn++++=seropositive
individuals ^nns++++=individuals
in ^in++++=in
an ^at++++=an
indigenous ^jj+atrb+++=Indigenous
amazonian ^np++++=Amazonian
population ^nn++++=population.
. ^zz++++=EXTRAWORD
