Altogether ^nn+nom+++=Altogether,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
populations ^nns+nom+++=populations
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
1666 ^cd+date+++=1666
schoolchildren ^jj+++xvbn+=schoolchildren
of ^in++++=of
six ^cd++++=six
elementary ^jj+atrb+++=elementary
state ^nn++++=state
schools ^nns++++=schools:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
rural ^jj+atrb+++=rural
Soe ^np+++??+=Soe
( ^zz++++=(West
west ^np+pl+++=EXTRAWORD
Timor ^np+++??+=Timor),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
urban ^jj+atrb+++=urban
Kupang ^np+++??+=Kupang
( ^zz++++=(West
west ^np+pl+++=EXTRAWORD
Timor ^np+++??+=Timor),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
urban ^jj+atrb+++=urban
Ubud ^np+++??+=Ubud
( ^zz++++=(Bali)
bali ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
average ^jj+atrb+++=average
socioeconomic ^jj+atrb+++=socioeconomic
background ^nn++++=background
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
the ^ati++++=the
connectedness ^nns+nom+++=connectedness
with ^in++++=with
and ^cc++++=and
absorption ^nn+nom+++=absorption
of ^in++++=of
the ^ati++++=the
modern ^jj+atrb+++=modern
Western ^jj+atrb+++=Western
lifestyle ^nn+++??+=lifestyle
differs ^nns+nom+++=differs
from ^in++++=from
almost ^rb+hdg+++=almost
no ^at++++=no
contact ^nn++++=contact
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
rural ^jj+atrb+++=rural
children ^nns++++=children
of ^in++++=of
Soe ^np+++??+=Soe,
, ^zz++++=EXTRAWORD
West ^np+pl+++=West
Timor ^np+++??+=Timor,
, ^zz++++=EXTRAWORD
some ^dti++++=some
minor ^jj+atrb+++=minor
contact ^nn++++=contact
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
urban ^jj+atrb+++=urban
children ^nns++++=children
of ^in++++=of
Kupang ^np+++??+=Kupang,
, ^zz++++=EXTRAWORD
West ^np+pl+++=West
Timor ^np+++??+=Timor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
up ^rp++++=up
to ^in++++=to
major ^jj+atrb+++=major
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
Western ^jj+atrb+++=Western
tourist ^nn+nom+++=tourist
culture ^nn++++=culture
in ^in++++=in
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
the ^ati++++=the
urban ^jj+atrb+++=urban
children ^nns++++=children
of ^in++++=of
Ubud ^np+++??+=Ubud,
, ^zz++++=EXTRAWORD
Bali ^np+++??+=Bali,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
considered ^vbd+vprv++xvbn+=considered
the ^ati++++=the
trend ^nn++++=trend
in ^in++++=in
living ^xvbg+++xvbg+=living
conditions ^nns+nom+++=conditions
from ^in++++=from
rural ^jj+atrb+++=rural
West ^np+pl+++=West
Timor ^np+++??+=Timor
to ^in++++=to
urban ^jj+atrb+++=urban
Bali ^np+++??+=Bali
an ^at++++=an
appropriate ^jj+atrb+++=appropriate
example ^nn++++=example
to ^to++++=to
illustrate ^nn+nom+++=illustrate
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
degree ^nn++++=degree
of ^in++++=of
social ^jj+atrb+++=social
transition ^nn+nom+++=transition
in ^in++++=in
the ^ati++++=the
indonesian ^np++++=Indonesian
school ^nn++++=school
children ^nns++++=children.
. ^zz++++=EXTRAWORD
