Questionnaires ^np+++??+=Questionnaires
were ^vbd+bed+aux++=were
administered ^vpsv++agls+xvbnx+=administered
verbally ^rb++++=verbally
to ^in++++=to
pregnant ^jj+atrb+++=pregnant
women ^nns++++=women
by ^in++++=by
trained ^jj+atrb++xvbn+=trained
fieldworkers ^nns+nom+++=fieldworkers,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
smartphones ^nns+++??+=smartphones.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
on ^in++++=on
current ^jj+atrb+++=current
age ^nn++++=age,
, ^zz++++=EXTRAWORD
age ^nn++++=age
at ^in++++=at
marriage ^nn+nom+++=marriage
and ^cc++++=and
first ^rb++++=first
pregnancy ^nn++++=pregnancy,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education
level ^nn++++=level
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman
and ^cc++++=and
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
caste ^nn++++=caste
and ^cc++++=and
parity ^nn++++=parity.
. ^zz++++=EXTRAWORD
Pregnancy ^nn++++=Pregnancy
refers ^vbz++++=refers
to ^in++++=to
any ^dti++++=any
conception ^nn+nom+++=conception
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
detected ^vpsv++by+xvbnx+=detected
by ^in++++=by
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
included ^vbd+++xvbn+=included
miscarriages ^nns+nom+++=miscarriages,
, ^zz++++=EXTRAWORD
abortions ^nns+nom+++=abortions,
, ^zz++++=EXTRAWORD
stillbirths ^nns++++=stillbirths,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
livebirths ^nns+++??+=livebirths.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
collection ^nn+nom+++=collection
from ^in++++=from
each ^dt++++=each
participant ^nn+nom+++=participant
continued ^vbd+++xvbn+=continued
through ^in++++=through
the ^ati++++=the
trial ^nn++++=trial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
scheduled ^vpsv++agls+xvbnx+=scheduled
to ^to+vcmp+++=to
cover ^vbi++++=cover
late ^jj+atrb+++=late
pregnancy ^nn++++=pregnancy,
, ^zz++++=EXTRAWORD
delivery ^nn+nom+++=delivery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
early ^jj+atrb+++=early
infancy ^nn++++=infancy.
. ^zz++++=EXTRAWORD
