Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Stature ^nn++++=Stature
in ^in++++=in
the ^ati++++=the
Holocene ^np+++??+=Holocene
prehistory ^nn++++=prehistory
of ^in++++=of
the ^ati++++=the
Near ^rb++++=Near
East ^nr+pl+++=East
and ^cc++++=and
Europe ^np++++=Europe
varied ^vbd+++xvbn+=varied
with ^in++++=with
maxima ^nns++++=maxima
for ^in++++=for
women ^nns++++=women
usually ^rb+down+++=usually
ranging ^vbg+++xvbg+=ranging
below ^in+pl+++=below
160 ^cd++++=160
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
maxima ^nns++++=maxima
for ^in++++=for
men ^nns++++=men
between ^in++++=between
165 ^cd++++=165
and ^cc++++=and
170 ^cd++++=170
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
Stature ^nn++++=Stature
never ^rb++++=never
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
170 ^cd++++=170
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
European ^jj++++=European
and ^cc+phrs+++=and
white ^jj++++=white
Us ^pp1o+pp1+++=US-American
- ^zz++++=EXTRAWORD
american ^jj++++=EXTRAWORD
schoolchildren ^jj+++xvbn+=schoolchildren
of ^in++++=of
the ^ati++++=the
19th ^cd+date+++=19th
and ^cc++++=and
20th ^cd++++=20th
century ^nn++++=century
were ^vbd+bed+vrb++=were
generally ^rb+down+++=generally
short ^jj+pred+++=short
with ^in++++=with
average ^jj+atrb+++=average
height ^nn++++=height
ranging ^vwbg+++xvbg+=ranging
between ^in++++=between
1.5 ^cd++++=1.5
and ^cc++++=and
2.2 ^cd++++=2.2
hsds ^nns+++??+=hSDS,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
any ^dti++++=any
evidence ^nn+nom+++=evidence
of ^in++++=of
chronic ^jj+atrb+++=chronic
or ^cc+phrs+++=or
recurrent ^jj+atrb+++=recurrent
undernutrition ^nn+nom+++=undernutrition
or ^cc++++=or
frequent ^jj+atrb+++=frequent
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
disadvantageous ^jj+atrb+++=disadvantageous
living ^jj+atrb++xvbg+=living
conditions ^nns+nom+++=conditions.
. ^zz++++=EXTRAWORD
the ^ati++++=The
same ^ap++++=same
is ^vbz+bez+aux++=is
found ^vbd+vprv++xvbn+=found
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
indonesian ^np++++=Indonesian
schoolchildren ^jj++++=schoolchildren.
. ^zz++++=EXTRAWORD
