Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
until ^in++++=until
the ^ati++++=the
final ^jj+atrb+++=final
decades ^nns++++=decades
of ^in++++=of
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century
that ^tht+rel+++=that
substantial ^jj+atrb+++=substantial
data ^nns++++=data
on ^in++++=on
ovarian ^nn++++=ovarian
functioning ^vwbg+++xvbg+=functioning
in ^in++++=in
women ^nns++++=women
from ^in++++=from
nonindustrialized ^jj+atrb++xvbn+=nonindustrialized,
, ^zz++++=EXTRAWORD
natural ^jj+atrb+++=natural
fertility ^nn+nom+++=fertility
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
noncontracepting ^jj+++xvbg+=noncontracepting)
) ^zz++++=EXTRAWORD
populations ^nns+nom+++=populations
became ^vbd+++xvbn+=became
available ^jj++++=available
( ^zz++++=(Ellison
ellison ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1986 ^cd+date+++=1986
; ^zz++++=;
Jasienska ^np+++??+=Jasienska
& ^zz++++=&
Ellison ^np++++=Ellison,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
; ^zz++++=;
Johnson ^np++++=Johnson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987
; ^zz++++=;
Konner ^np+++??+=Konner
& ^zz++++=&
Worthman ^np+nom++??+=Worthman,
, ^zz++++=EXTRAWORD
1980 ^cd+date+++=1980
; ^zz++++=;
Leslie ^np++++=Leslie
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
; ^zz++++=;
Leslie ^np++++=Leslie
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996
; ^zz++++=;
Leslie ^np++++=Leslie
& ^zz++++=&
Fry ^nns++++=Fry,
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
; ^zz++++=;
Panter ^np+++??+=Panter-Brick
- ^zz++++=EXTRAWORD
brick ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
; ^zz++++=;
Strassmann ^np+++??+=Strassmann,
, ^zz++++=EXTRAWORD
1996a ^cd++++=1996a
, ^zz++++=,
1997 ^cd+date+++=1997
; ^zz++++=;
van ^&fw++++=van
der ^&fw++++=der
Walt ^np+++??+=Walt
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1977 ^cd+date+++=1977
; ^zz++++=;
Vitzthum ^np+++??+=Vitzthum,
, ^zz++++=EXTRAWORD
2001a ^cd++++=2001a
; ^zz++++=;
Vitzthum ^np+++??+=Vitzthum
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994
; ^zz++++=;
worthman ^np+nom+++=Worthman
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
) ^zz++++=).
. ^zz++++=EXTRAWORD
