Cross ^jj++++=Cross-cultural
- ^zz++++=EXTRAWORD
cultural ^jj++++=EXTRAWORD
and ^cc+phrs+++=and
cross ^jj++++=cross-linguistic
- ^zz++++=EXTRAWORD
linguistic ^jj+atrb+++=EXTRAWORD
comparisons ^nns++++=comparisons
of ^in++++=of
in ^in++++=in-law
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
avoidance ^nn+nom+++=avoidance
registers ^nns+nom+++=registers
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++by+xvbnx+=studied
by ^in++++=by
others ^aps++++=others,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
these ^dt+dem+++=these
comparisons ^nns++++=comparisons
centered ^vbd+++xvbn+=centered
on ^in++++=on
languages ^nns+nom+++=languages
spoken ^vwbn+++xvbn+=spoken
by ^in++++=by
linguistic ^jj+atrb+++=linguistic
groups ^nns++++=groups
in ^in++++=in
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
Austronesia ^np+++??+=Austronesia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
Storch ^np+++??+=Storch
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
presents ^vbz++++=presents
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
different ^nn++++=different
typologies ^vbz+++??+=typologies
used ^md"++pmd"++=used
to ^to++++=to
classify ^vb++++=classify
avoidance ^nn+nom+++=avoidance
registers ^nns+nom+++=registers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Fleming ^np++++=Fleming's
's ^$++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
study ^nn++++=study
of ^in++++=of
comparative ^jj+atrb+++=comparative
data ^nns++++=data
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
Australian ^jj+atrb+++=Australian
mother ^nn++++=mother-in-law
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
law ^nn++++=EXTRAWORD
speech ^nn++++=speech
register ^nn+nom+++=register
deviates ^nns+nom+++=deviates
from ^in++++=from
