Throughout ^in++++=Throughout
the ^ati++++=the
Holocene ^np+++??+=Holocene,
, ^zz++++=EXTRAWORD
average ^jj+atrb+++=average
adult ^nn++++=adult
human ^jj+atrb+++=human
body ^nn++++=body
height ^nn++++=height
varied ^vbd+++xvbn+=varied
between ^in++++=between
150 ^cd++++=150
and ^cc++++=and
160 ^cd++++=160
cm ^nnu++++=cm
in ^in++++=in
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
160 ^cd++++=160
and ^cc++++=and
170 ^cd++++=170
cm ^nnu++++=cm
in ^in++++=in
men ^nns++++=men
( ^zz++++=(Rosenstock
rosenstock ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Since ^in++++=Since
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
men ^nns++++=men's
's ^vbz+bez+vrb++0=EXTRAWORD
average ^jj+atrb+++=average
body ^nn++++=body
height ^nn++++=height
had ^vbd+hvd+aux++=had
surpassed ^vprf+++xvbnx+=surpassed
the ^ati++++=the
upper ^nn++++=upper
limit ^vb++++=limit
of ^in++++=of
170 ^cd++++=170
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
women ^nns++++=women's
's ^$++++=EXTRAWORD
height ^nn++++=height
the ^ati++++=the
limit ^nn++++=limit
of ^in++++=of
160 ^cd++++=160
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
even ^rb++++=even
for ^in++++=for
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
the ^ati++++=the
upper ^jjb+atrb+++=upper
social ^jj+atrb+++=social
strata ^nns++++=strata
of ^in++++=of
advanced ^jj+++xvbn+=advanced
European ^jj++++=European
and ^cc+phrs+++=and
Western ^jj+atrb+++=Western
Asian ^jj+atrb+++=Asian
civilizations ^nns+nom+++=civilizations
( ^zz++++=(Rosenstock
rosenstock ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Height ^nn++++=Height
of ^in++++=of
skeletons ^nns++++=skeletons
of ^in++++=of
different ^jj+atrb+++=different
burial ^nn++++=burial
grounds ^nns++++=grounds
from ^in++++=from
Merowinger ^np+nom++??+=Merowinger
( ^zz++++=(around
around ^rp++++=EXTRAWORD
400 ^cd++++=400
750 ^cd++++=750
Ad ^&fw++++=AD)
) ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
medieval ^jj+atrb+++=medieval
time ^nn++++=time
differed ^vbd+++xvbn+=differed
from ^in++++=from
167.7 ^cd++++=167.7
1.2 ^cd++++=1.2
cm ^nnu++++=cm
to ^to++++=to
170.7 ^cd++++=170.7
5.0 ^cd++++=5.0
cm ^nnu++++=cm
in ^in++++=in
males ^nns++++=males
and ^cc++++=and
from ^in++++=from
155.3 ^cd++++=155.3
1.4 ^cd++++=1.4
cm ^nnu++++=cm
to ^to++++=to
159.7 ^cd++++=159.7
3.9 ^cd++++=3.9
cm ^nnu++++=cm
in ^in++++=in
females ^nns++++=females.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
fifth ^nn++++=fifth/sixth
century ^nn++++=century
a ^at++++=a
height ^nn++++=height
difference ^nn+nom+++=difference
of ^in++++=of
skeletons ^nns++++=skeletons
of ^in++++=of
poorly ^rb++++=poorly
and ^cc+phrs+++=and
richly ^rb++++=richly
endowed ^xvbn+++xvbn+=endowed
graves ^nns++++=graves
was ^vbd+bedz+aux++=was
documented ^vpsv++agls+xvbnx+=documented,
, ^zz++++=EXTRAWORD
the ^ati++++=the
aristocracy ^nn+nom+++=aristocracy
reached ^vbd+++xvbn+=reached
a ^at++++=a
body ^nn++++=body
height ^nn++++=height
3 ^zz++++=3
cm ^nnu++++=cm
taller ^jjr++++=taller
than ^in++++=than
the ^ati++++=the
normal ^jj+atrb+++=normal
population ^nn+nom+++=population
in ^in++++=in
early ^jj+atrb+++=early
medieval ^jj+atrb+++=medieval
time ^nn++++=time
( ^zz++++=(Siegmund,
siegmund ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
Estimates ^nns+nom+++=Estimates
of ^in++++=of
mean ^jj+atrb+++=mean
body ^nn++++=body
mass ^nn++++=mass
ranged ^vbd+++xvbn+=ranged
between ^in++++=between
60 ^cd++++=60
to ^to++++=to
70 ^cd++++=70
kg ^nnu++++=kg
in ^in++++=in
male ^jj+atrb+++=male
adults ^nns++++=adults
and ^cc++++=and
52 ^cd++++=52
to ^to++++=to
55 ^cd++++=55
kg ^nnu++++=kg
in ^in++++=in
female ^jj+atrb+++=female
adults ^nns++++=adults
in ^in++++=in
the ^ati++++=the
Mesolithic ^np+++??+=Mesolithic
( ^zz++++=(15
15 ^cd++++=EXTRAWORD
000 ^nn+++??+=000
5000 ^cd++++=5000
Bc ^&fo++++=BC)
) ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Medieval ^jj+atrb+++=Medieval
time ^nn++++=time
period ^nn++++=period
( ^zz++++=(5th
5th ^cd++++=EXTRAWORD
late ^jj++++=late
15th ^cd++++=15th
century ^nn++++=century)
) ^zz++++=EXTRAWORD
( ^zz++++=(Macintosh
macintosh ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
described ^vbd+++xvbnx+=described
also ^rb++++=also
a ^at++++=a
reduction ^nn+nom+++=reduction
of ^in++++=of
mean ^jj+atrb+++=mean
body ^nn++++=body
height ^nn++++=height
from ^in++++=from
173 ^cd++++=173
cm ^nnu++++=cm
