Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Generally ^rb+cnj+++=Generally,
, ^zz++++=EXTRAWORD
mothers ^nns++++=mothers'
' ^zz++++=EXTRAWORD
anthropometry ^nn+++??+=anthropometry
and ^cc++++=and
dietary ^jj+atrb+++=dietary
intake ^nn++++=intake
do ^vb+do+aux++=do
not ^xnot++not++=not
differ ^vb++++=differ
according ^in+cmpx+++=according
to ^in++++=to
offspring ^nn++++=offspring
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
As ^ql++++=As
boys ^nns++++=boys
are ^vb+ber+vrb++=are
consistently ^rb++++=consistently
larger ^jjr+pred+++=larger,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
expect ^vb+vprv+++=expect
that ^tht+vcmp+++=that
poor ^jj+atrb+++=poor
maternal ^jj+atrb+++=maternal
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
may ^md+pos+++=may
compromise ^vb++++=compromise
their ^pp$+pp3+++=their
growth ^nn++++=growth
more ^rbr++++=more
than ^in++++=than
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
copyright ^np++++=Copyright
2021 ^cd++++=2021
john ^np++++=John
wiley ^np++++=Wiley
& ^zz++++=&
sons ^nns++++=Sons,
, ^zz++++=EXTRAWORD
ltd ^jj++++=Ltd.
. ^zz++++=EXTRAWORD
