Objectives ^nns++++=Objectives:
: ^zz++++=EXTRAWORD
Plasticity ^nn+nom+++=Plasticity
in ^in++++=in
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
body ^nn++++=body
segments ^nns+nom+++=segments
between ^in++++=between
populations ^nns+nom+++=populations
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
researched ^vpsv++agls+xvbnx+=researched
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
migration ^nn+nom+++=migration,
, ^zz++++=EXTRAWORD
temporal ^jj+atrb+++=temporal
change ^nn++++=change
and ^cc++++=and
high ^jj++++=high-altitude
- ^zz++++=EXTRAWORD
altitude ^nn++++=EXTRAWORD
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
study ^nn++++=study
the ^ati++++=the
within ^in++++=within
population ^nn+nom+++=population
variation ^nn+nom+++=variation
in ^in++++=in
body ^nn++++=body
segments ^nns+nom+++=segments,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
controlling ^jj+++xvbg+=controlling
for ^in++++=for
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
environmental ^jj+atrb+++=environmental
and ^cc+phrs+++=and
genetic ^jj+atrb+++=genetic
differences ^nns+nom+++=differences
that ^tht+rel+subj++=that
could ^md+pos+++=could
be ^vb+be+vrb++=be
at ^rb++++=at
play ^nn++++=play
in ^in++++=in
between ^in++++=between
populations ^nns+nom+++=populations
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
test ^nn++++=test
a ^at++++=a
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
thrifty ^jj+atrb+++=thrifty
phenotype ^nn+++??+=phenotype
hypothesis ^nn++++=hypothesis,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
growth ^nn++++=growth
of ^in++++=of
head ^nn++++=head-trunk
- ^zz++++=EXTRAWORD
trunk ^nn++++=EXTRAWORD
and ^cc++++=and
hand ^nn++++=hand
are ^vb+ber+aux++=are
prioritized ^vpsv++agls+xvbnx+=prioritized
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
functional ^jj+atrb+++=functional
significance ^nn+nom+++=significance
over ^in++++=over
height ^nn++++=height
and ^cc++++=and
leg ^nn++++=leg
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
