Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
field ^nn++++=field
school ^nn++++=school
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
burned ^vbd+++xvbn+=burned
more ^ql++++=more
calories ^nns++++=calories
( ^zz++++=(
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.01),
01 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
more ^ql++++=more
steps ^nns++++=steps
( ^zz++++=(
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.0001),
0001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
engaged ^vpsv++agls+xvbn+=engaged
in ^in++++=in
more ^rbr++++=more
moderate ^jj+atrb+++=moderate
and ^cc+phrs+++=and
easy ^jj+atrb+++=easy
exercise ^nn++++=exercise
( ^zz++++=(
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.0001).
0001 ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
