Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coordination ^nn+nom+++=coordination
problem ^nn++++=problem
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+vrb++=be
sensitive ^jj+pred+++=sensitive
to ^in++++=to
social ^jj+atrb+++=social
context ^nn++++=context.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
growing ^vbg+++xvbgx+=growing
understanding ^vb+++xvbg+=understanding
that ^tht+vcmp+++=that
traditional ^jj+atrb+++=traditional
birthing ^jj+atrb++xvbg+=birthing
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
delivering ^jj+++xvbg+=delivering
while ^cs+sub+++=while
standing ^vbg+++xvbg+=standing
or ^cc+phrs+++=or
squatting ^vbg+++xvbg+=squatting,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
promote ^vb++++=promote
uncomplicated ^jj+atrb+++=uncomplicated
births ^nns++++=births
( ^zz++++=(Stone,
stone ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Veile ^np+++??+=Veile
& ^zz++++=&
Kramer ^np+++??+=Kramer,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
A ^at++++=A
recent ^jj+atrb+++=recent
analysis ^nn++++=analysis
across ^in+pl+++=across
three ^cd++++=three
generations ^nns+nom+++=generations
of ^in++++=of
Mayan ^np+++??+=Mayan
mothers ^nns+nom+++=mothers
in ^in++++=in
Mexico ^np++++=Mexico
found ^vbd+vprv+tht0+xvbn+=found
that ^tht+vcmp+++=that
declines ^vbz++++=declines
across ^in+pl+++=across
generations ^nns+nom+++=generations
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
traditional ^jj+atrb+++=traditional
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
associated ^j+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
medicalization ^nn+nom+++=medicalization
of ^in++++=of
childbirth ^nn++++=childbirth,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
childbirth ^nn++++=childbirth
complications ^nns+nom+++=complications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
no ^at++++=no
change ^nn++++=change
in ^in++++=in
infant ^nn++++=infant
mortality ^nn+nom+++=mortality
rate ^nn++++=rate
( ^zz++++=(Veile
veile ^nn+++??+=EXTRAWORD
& ^zz++++=&
Kramer ^np+++??+=Kramer,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
having ^xvbg+++xvbg+=having
a ^at++++=a
surgical ^jj+atrb+++=surgical
intervention ^nn+nom+++=intervention
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
strongly ^rb+amp+++=strongly
determined ^vpsv++by+xvbn+=determined
by ^in++++=by
whether ^cs+who+++=whether
the ^ati++++=the
birth ^nn++++=birth
was ^vbd+bedz+vrb++=was
at ^rb++++=at
home ^nr++++=home
or ^cc++++=or
in ^in++++=in
an ^at++++=an
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
differences ^nns+nom+++=differences
in ^in++++=in
social ^jj+atrb+++=social
support ^nn++++=support
contribute ^vb++++=contribute
to ^in++++=to
such ^abl++++=such
differences ^nns+nom+++=differences
is ^vbz+bez+vrb++=is
an ^at++++=an
important ^jj+atrb+++=important
topic ^nn++++=topic
for ^in++++=for
further ^jjb+atrb+++=further
research ^nn++++=research.
. ^zz++++=EXTRAWORD
