Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
individual ^jj+atrb+++=individual
level ^nn++++=level,
, ^zz++++=EXTRAWORD
the ^ati++++=the
risk ^nn++++=risk
childbirth ^nn++++=childbirth
complications ^nns+nom+++=complications
is ^vbz+bez+aux++=is
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
trade ^nn++++=trade-offs
- ^zz++++=EXTRAWORD
offs ^nns+++??+=EXTRAWORD
between ^in++++=between
fertility ^nn+nom+++=fertility,
, ^zz++++=EXTRAWORD
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
survival ^nn+nom+++=survival.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
biological ^jj+atrb+++=biological
markers ^nns+nom+++=markers
of ^in++++=of
disadvantage ^nn+nom+++=disadvantage
( ^zz++++=(early
early ^jj+atrb+++=EXTRAWORD
childbearing ^nvbg+++xvbg+=childbearing,
, ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
stature ^nn++++=stature)
) ^zz++++=EXTRAWORD
increased ^vbd+++xvbn+=increased
the ^ati++++=the
risk ^nn++++=risk,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
low ^jj+atrb+++=low
socio ^nn+++??+=socio-economic
- ^zz++++=EXTRAWORD
economic ^jj+atrb+++=EXTRAWORD
status ^nn++++=status
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
lower ^nn++++=lower
risk ^vb++++=risk,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
reduced ^jj+atrb++xvbn+=reduced
access ^nn++++=access
to ^in++++=to
relevant ^jj+atrb+++=relevant
facilities ^nns+nom+++=facilities.
. ^zz++++=EXTRAWORD
Independent ^jj++++=Independent
of ^in++++=of
these ^dt+dem+++=these
associations ^nns+nom+++=associations,
, ^zz++++=EXTRAWORD
maternal ^jj+atrb+++=maternal
age ^nn++++=age
showed ^vbd+vprv++xvbn+=showed
complex ^jj+atrb+++=complex
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
