Beginning ^vbg+++xvbg+=Beginning
in ^in++++=in
earnest ^nn++++=earnest
in ^in++++=in
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
archaeologists ^nns++++=archaeologists
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
the ^ati++++=the
material ^nn++++=material
record ^nn++++=record
as ^ql++++=as
an ^at++++=an
alternative ^jj+atrb+++=alternative
window ^nn++++=window
into ^in++++=into
the ^ati++++=the
experiences ^nns++++=experiences
and ^cc++++=and
practices ^nns++++=practices
of ^in++++=of
Black ^jj+atrb+++=Black
and ^cc+phrs+++=and
Indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples
in ^in++++=in
North ^np+pl+++=North
America ^np++++=America
from ^in++++=from
the ^ati++++=the
sixteenth ^nn++++=sixteenth
century ^nn++++=century
onward ^jjb++++=onward.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
now ^rn+tm+++=now
robust ^jj+atrb+++=robust
body ^nn++++=body
of ^in++++=of
scholarship ^nn++++=scholarship
on ^in++++=on
settler ^nn++++=settler
colonialism ^nn++++=colonialism
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shaped ^vpsv++by+xvbnx+=shaped
by ^in++++=by
postcolonial ^nn+++??+=postcolonial
theories ^nns++++=theories
of ^in++++=of
power ^nn++++=power
and ^cc++++=and
broad ^jj++++=broad-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
calls ^nns++++=calls
to ^to++++=to
diversify ^vbi++++=diversify
Western ^jj+atrb+++=Western
history ^nn++++=history.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
archaeologists ^nns++++=archaeologists
have ^vb+hv+vrb++=have
long ^jj++++=long
recognized ^jj+++xvbn+=recognized
the ^ati++++=the
political ^jj++++=political,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
biological ^jj++++=biological,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
economic ^jj+atrb+++=economic
entanglements ^nns++++=entanglements
produced ^vwbn+++xvbn+=produced
by ^in++++=by
settler ^nn++++=settler
colonialism ^nn++++=colonialism,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lives ^nns++++=lives
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples
have ^vb+hv+aux++=have
largely ^rb++splt++=largely
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++agls+xvbnx+=studied
in ^in++++=in
isolation ^nn++++=isolation
from ^in++++=from
peoples ^nns++++=peoples
of ^in++++=of
African ^jj+atrb+++=African
descent ^nn++++=descent.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^to++++=to
reinforcing ^vbi++++=reinforcing
static ^jj+atrb+++=static
ethnic ^nn+++??+=ethnic
divisions ^nns++++=divisions,
, ^zz++++=EXTRAWORD
until ^in++++=until
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
archaeological ^jj+atrb+++=archaeological
studies ^nns++++=studies
of ^in++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism
have ^vb+hv+aux++=have
focused ^vprf+++xvbnx+=focused
on ^in++++=on
early ^jj+atrb+++=early
periods ^nns++++=periods
of ^in++++=of
interethnic ^nn+++??+=interethnic
interaction ^nn++++=interaction,
, ^zz++++=EXTRAWORD
ending ^vbg+++xvbg+=ending
abruptly ^rb++++=abruptly
in ^in++++=in
the ^ati++++=the
nineteenth ^od++++=nineteenth
century ^nn++++=century.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
intellectual ^jj+atrb+++=intellectual
silos ^nns++++=silos
gloss ^nn++++=gloss
over ^in++++=over
the ^ati++++=the
intimate ^jj+atrb+++=intimate
relationships ^nns++++=relationships
that ^tht+rel+subj++=that
formed ^vbd+++xvbn+=formed
between ^in++++=between
diverse ^jj+atrb+++=diverse
communities ^nns++++=communities
and ^cc++++=and
hinder ^vb++++=hinder
a ^at++++=a
deeper ^jjr++++=deeper
understanding ^jj+++xvbg+=understanding
of ^in++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism's
's ^$++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
impact ^nn++++=impact
on ^in++++=on
archaeological ^jj+atrb+++=archaeological
praxis ^nns++++=praxis.
. ^zz++++=EXTRAWORD
