Recombinant ^np+nom++??+=Recombinant
protein ^nn++++=protein
expression ^nn++++=expression
and ^cc++++=and
purification ^nn+nom+++=purification
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
as ^cs+sub+++=as
described ^jj+++xvbn+=described
( ^zz++++=(
Aricescu ^np++++=Aricescu
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Aricescu ^np+++??+=Aricescu,
, ^zz++++=EXTRAWORD
A.r ^np+++??+=A.R.
. ^zz++++=EXTRAWORD
Lu ^np+++??+=Lu,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
E.y ^np+++??+=E.Y.
. ^zz++++=EXTRAWORD
A ^at++++=A
timeand ^nn+++??+=timeand
cost ^nn++++=cost-efficient
- ^zz++++=EXTRAWORD
efficient ^jj+atrb+++=EXTRAWORD
system ^nn++++=system
for ^in++++=for
high ^jj++++=high-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
protein ^nn++++=protein
production ^nn+nom+++=production
in ^in++++=in
mammalian ^jj+atrb+++=mammalian
cells ^nns++++=cells
Acta ^np+++??+=Acta
Crystallogr ^np+++??+=Crystallogr
D ^zz++++=D
Biol ^np+++??+=Biol
Crystallogr ^np+++??+=Crystallogr.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006;
; ^zz++++=EXTRAWORD
62 ^cd++++=62
: ^zz++++=:1243-1250
1243 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
1250 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(537)
537 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Seiradake ^np+++??+=Seiradake
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
100 ^cd++++=100.
. ^zz++++=EXTRAWORD
Seiradake ^np+++??+=Seiradake,
, ^zz++++=EXTRAWORD
E ^zz++++=E.
. ^zz++++=EXTRAWORD
Zhao ^np+++??+=Zhao,
, ^zz++++=EXTRAWORD
Y ^zz++++=Y.
. ^zz++++=EXTRAWORD
Lu ^np+++??+=Lu,
, ^zz++++=EXTRAWORD
W ^zz++++=W.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Production ^nn+nom+++=Production
of ^in++++=of
cell ^nn++++=cell
surface ^nn++++=surface
and ^cc++++=and
secreted ^jj+atrb++xvbn+=secreted
glycoproteins ^nns+++??+=glycoproteins
in ^in++++=in
mammalian ^jj+atrb+++=mammalian
cells ^nns++++=cells
Methods ^nns++++=Methods
Mol ^np+++??+=Mol.
. ^zz++++=EXTRAWORD
Biol ^np+++??+=Biol.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
1261 ^cd++++=1261
: ^zz++++=:115-127
115 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
127 ^cd++++=EXTRAWORD
Crossref ^np+++??+=Crossref
Scopus ^np+++??+=Scopus
( ^zz++++=(12)
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
) ^zz++++=).
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
adherent ^jj+atrb+++=adherent
Hek293t ^np+++??+=HEK293T
or ^cc++++=or
Gnti ^np+++??+=GnTI-deficient
- ^zz++++=EXTRAWORD
deficient ^jj+atrb+++=EXTRAWORD
Hek293s ^np+++??+=HEK293S
cells ^nns++++=cells
were ^vbd+bed+aux++=were
transiently ^rb++splt++=transiently
transfected ^vpsv++agls+xvbnx+=transfected
with ^in++++=with
the ^ati++++=the
relevant ^jj+atrb+++=relevant
plasmids ^nns+++??+=plasmids
using ^vwbg+++xvbg+=using
polyethylenimine ^nn+++??+=polyethylenimine
( ^zz++++=(PEI)
pei ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
grown ^vpsv++agls+xvbn+=grown
for ^in++++=for
5 ^zz++++=5
10 ^cd++++=10
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Cell ^nn++++=Cell
culture ^nn++++=culture
media ^nns++++=media
were ^vbd+bed+aux++=were
filtered ^vpsv++agls+xvbnx+=filtered
to ^to++++=to
