Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
work ^nn++++=work
is ^vbz+bez+aux++=is
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
significant ^jj+atrb+++=significant
global ^jj+atrb+++=global
burden ^nn++++=burden
of ^in++++=of
maternal ^jj+atrb+++=maternal
and ^cc+phrs+++=and
neonatal ^jj+atrb+++=neonatal
morbidity ^nn+nom+++=morbidity
and ^cc++++=and
mortality ^nn+nom+++=mortality
associated ^vbd+++xvbn+=associated
with ^in++++=with
childbirth ^nn++++=childbirth
( ^zz++++=(Ronsmans
ronsmans ^nns+nom+++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=),
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
variable ^jj+atrb+++=variable
epidemiological ^jj+atrb+++=epidemiological
distribution ^nn+nom+++=distribution
of ^in++++=of
this ^dt+dem+++=this
burden ^nn++++=burden
( ^zz++++=(Rosenberg
rosenberg ^np++++=EXTRAWORD
& ^zz++++=&
Veile ^np+++??+=Veile,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
lowand ^nn+++??+=lowand
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
( ^zz++++=(LMICs),
lmics ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
every ^at++++=every
mother ^nn++++=mother
who ^whp+rel+subj++=who
dies ^vbz++++=dies
during ^in++++=during
childbirth ^nn++++=childbirth
an ^at++++=an
additional ^jj++++=additional
30 ^cd++++=30
50 ^cd++++=50
suffer ^vb++++=suffer
injury ^nn++++=injury,
, ^zz++++=EXTRAWORD
infection ^nn+nom+++=infection,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
disease ^nn++++=disease
( ^zz++++=(Islam,
islam ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=).
. ^zz++++=EXTRAWORD
