As ^ql++++=As
maternal ^jj+atrb+++=maternal
employment ^nn+nom+++=employment
status ^nn++++=status
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
available ^jj+pred+++=available
in ^in++++=in
the ^ati++++=the
statistics ^nn++++=statistics
from ^in++++=from
2018 ^cd++++=2018
onwards ^rb+cnj+++=onwards,
, ^zz++++=EXTRAWORD
data ^nns++++=data
mining ^nn++++=mining
techniques ^nns++++=techniques
to ^to++++=to
determine ^vbi++++=determine
factors ^nns++++=factors
importance ^nn+nom+++=importance
were ^vbd+bed+aux++=were
only ^rb+down+splt++=only
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
period ^nn++++=period
2018 ^cd++++=2018
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
mining ^nn++++=mining
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
using ^vbg+++xvbg+=using
the ^ati++++=the
statistical ^jj+atrb+++=statistical
software ^nn++++=software
package ^nn+nom+++=package
ibm ^np++++=IBM
spss ^np++++=SPSS
modeler ^np++++=Modeler
18.0 ^cd+date+++=18.0.
. ^zz++++=EXTRAWORD
