Accelerometers ^nns+nom++??+=Accelerometers
are ^vb+ber+vrb++=are
a ^at++++=a
popular ^jj+atrb+++=popular
way ^nn++++=way
of ^in++++=of
objectively ^rb++++=objectively
measuring ^jj+atrb++xvbg+=measuring
sedentary ^nn+nom+++=sedentary
time ^nn++++=time
in ^in++++=in
free ^jj++++=free-living
- ^zz++++=EXTRAWORD
living ^jj+atrb++xvbg+=EXTRAWORD
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
including ^in++++=including
in ^in++++=in
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
population ^nn+nom+++=population-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
studies ^nns++++=studies
( ^zz++++=(Matthews
matthews ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Stamatakis ^np+++??+=Stamatakis,
, ^zz++++=EXTRAWORD
Davis ^np++++=Davis,
, ^zz++++=EXTRAWORD
Stathi ^np+++??+=Stathi,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Hamer ^np+++??+=Hamer,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Beginning ^vbg+++xvbg+=Beginning
in ^in++++=in
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
accelerometry ^nn++++=accelerometry
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
used ^vpsv++agls+xvbnx+=used
in ^in++++=in
epidemiological ^jj+atrb+++=epidemiological
studies ^nns++++=studies
for ^in++++=for
the ^ati++++=the
objective ^jj+atrb+++=objective
measurement ^nn+nom+++=measurement
of ^in++++=of
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
( ^zz++++=(Freedson,
freedson ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Melanson ^np+++??+=Melanson,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Sirard ^np+++??+=Sirard,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
; ^zz++++=;
Troiano ^np+++??+=Troiano
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
Measurements ^nns+nom+++=Measurements
of ^in++++=of
sedentary ^nn+nom+++=sedentary
time ^nn++++=time
were ^vbd+bed+aux++=were
extrapolated ^vwbn+++xvbn+=extrapolated
from ^in++++=from
these ^dt+dem+++=these
accelerometry ^nn++++=accelerometry
datasets ^nns+++??+=datasets
through ^in++++=through
inference ^nn+nom+++=inference,
, ^zz++++=EXTRAWORD
with ^in++++=with
periods ^nns++++=periods
of ^in++++=of
non ^&fw++++=non-movement
- ^zz++++=EXTRAWORD
movement ^nn+nom+++=EXTRAWORD
being ^xvbg+++xvbg+=being
interpreted ^vbd+++xvbn+=interpreted
as ^ql++++=as
sedentary ^nn+nom+++=sedentary
time ^nn++++=time
( ^zz++++=(Healy
healy ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Matthews ^np++++=Matthews
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
) ^zz++++=).
. ^zz++++=EXTRAWORD
With ^in++++=With
increasing ^xvbg+++xvbg+=increasing
recognition ^nn+nom+++=recognition
that ^tht+rel+obj++=that
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
important ^jj+pred+++=important
to ^to+jcmp+++=to
differentiate ^nn+nom+++=differentiate
sitting ^vbg+++xvbg+=sitting
from ^in++++=from
standing ^xvbg+++xvbg+=standing
in ^in++++=in
the ^ati++++=the
measurement ^nn+nom+++=measurement
of ^in++++=of
sedentary ^nn+nom+++=sedentary
time ^nn++++=time
( ^zz++++=(Owen,
owen ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Healy ^np+++??+=Healy,
, ^zz++++=EXTRAWORD
Matthews ^np++++=Matthews,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Dunstan ^np+++??+=Dunstan,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
; ^zz++++=;
Sedentary ^np+nom++??+=Sedentary
Behavior ^nn++++=Behavior
Research ^nn++++=Research
Network ^nn++++=Network,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=),
, ^zz++++=EXTRAWORD
accelerometers ^nns+nom+++=accelerometers
specifically ^rb++++=specifically
designed ^vbd+++xvbn+=designed
for ^in++++=for
the ^ati++++=the
measurement ^nn+nom+++=measurement
of ^in++++=of
posture ^nn++++=posture
( ^zz++++=(
inclinometers ^nns+nom+++=inclinometers
) ^zz++++=)
became ^vbd+++xvbn+=became
recognized ^vbd+vprv++xvbn+=recognized
for ^in++++=for
providing ^xvbg+++xvbg+=providing
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
measures ^nns++++=measures
of ^in++++=of
time ^nn++++=time
spent ^vbd+++xvbn+=spent
sitting ^vbg+++xvbg+=sitting.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
ways ^nns++++=ways
of ^in++++=of
wearing ^xvbg+++xvbg+=wearing
accelerometers ^nns+nom+++=accelerometers
and ^cc++++=and
processing ^nvbg+++xvbg+=processing
their ^pp$+pp3+++=their
