Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Boys ^nns++++=Boys
were ^vbd+bed+vrb++=were
larger ^jjr+pred+++=larger
than ^in++++=than
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
relative ^jj++++=relative
to ^in++++=to
their ^pp$+pp3+++=their
sex ^nn++++=sex-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
reference ^nn++++=reference
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
lower ^jjr++++=lower
length ^rb++++=length
and ^cc++++=and
head ^jjb+atrb+++=head
circumference ^nn++++=circumference
z ^zz++++=z
- ^zz++++=-scores
scores ^nns++++=EXTRAWORD
from ^in++++=from
birth ^nn++++=birth
to ^to++++=to
12 ^cd++++=12
months ^nns++++=months,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
higher ^jjr+atrb+++=higher
weight ^nn++++=weight-for-length
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
length ^nn++++=EXTRAWORD
z ^zz++++=z
- ^zz++++=-scores
scores ^nns++++=EXTRAWORD
from ^in++++=from
0 ^zz++++=0
to ^to++++=to
6 ^zz++++=6
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Mothers ^nns++++=Mothers
of ^in++++=of
sons ^nns++++=sons
had ^vb+hv+vrb++=had
higher ^jjr++++=higher
Muac ^np+++??+=MUAC
and ^cc++++=and
Bmi ^np+++??+=BMI
around ^in++++=around
36 ^cd++++=36
weeks ^nns++++=weeks
gestation ^nn+++??+=gestation
but ^cc++++=but
no ^at++++=no
other ^ap++++=other
differences ^nns++++=differences
in ^in++++=in
pregnancy ^nn++++=pregnancy
diets ^nns++++=diets
or ^cc++++=or
pregnancy ^nn++++=pregnancy/postpartum
maternal ^jj+atrb+++=maternal
anthropometry ^nn+++??+=anthropometry
were ^vbd+bed+aux++=were
detected ^vpsv++agls+xvbnx+=detected.
. ^zz++++=EXTRAWORD
Larger ^jjr+atrb+++=Larger
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
children ^nns++++=children's
's ^$++++=EXTRAWORD
size ^nn++++=size
in ^in++++=in
the ^ati++++=the
food ^nn++++=food
supplementation ^nn+++??+=supplementation
study ^nn++++=study
arm ^vb++++=arm
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
food ^nn++++=food
restriction ^nn++++=restriction
in ^in++++=in
pregnancy ^nn++++=pregnancy
may ^md+pos+++=may
limit ^vb++++=limit
fetal ^nn++++=fetal
growth ^nn++++=growth
of ^in++++=of
boys ^nns++++=boys
more ^rbr++++=more
than ^in++++=than
girls ^nns++++=girls.
. ^zz++++=EXTRAWORD
