Demographic ^np+++??+=Demographic
data ^nns++++=data
and ^cc++++=and
6 ^zz++++=6-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
totals ^nns++++=totals
of ^in++++=of
energy ^nn++++=energy
expenditure ^nn++++=expenditure,
, ^zz++++=EXTRAWORD
step ^vb++++=step
count ^npt++++=count,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
level ^nn++++=level
for ^in++++=for
each ^dt++++=each
participant ^nn+nom+++=participant
during ^in++++=during
the ^ati++++=the
Balinese ^np+nom++??+=Balinese
Macaque ^np+++??+=Macaque
Ethnoprimatology ^np+++??+=Ethnoprimatology
Field ^nn++++=Field
School ^nn++++=School
and ^cc++++=and
their ^pp$+pp3+++=their
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
setting ^vwbg+++xvbg+=setting
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
Matched ^j+++xvbn+=Matched-pairs
- ^zz++++=EXTRAWORD
pairs ^nns++++=EXTRAWORD
t ^zz++++=t-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
comparisons ^nns++++=comparisons
of ^in++++=of
total ^jj+atrb+++=total
energy ^nn++++=energy
expenditure ^nn++++=expenditure,
, ^zz++++=EXTRAWORD
step ^vb++++=step
count ^npt++++=count,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
time ^nn++++=time
in ^in++++=in
four ^cd++++=four
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
levels ^nns++++=levels
between ^in++++=between
the ^ati++++=the
field ^nn++++=field
school ^nn++++=school
and ^cc++++=and
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
environments ^nns+nom+++=environments
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2
. ^zz++++=.
Energy ^nn++++=Energy
expenditure ^nn++++=expenditure
and ^cc++++=and
step ^vb++++=step
count ^npt++++=count
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
greater ^jjr+pred+++=greater
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
school ^nn++++=school
than ^in++++=than
in ^in++++=in
the ^ati++++=the
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
environment ^nn+nom+++=environment
( ^zz++++=(
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.01).
01 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Total ^jj+atrb+++=Total
minutes ^nns++++=minutes
in ^in++++=in
easy ^jj++++=easy
and ^cc+phrs+++=and
moderate ^jj+atrb+++=moderate
physical ^jj+atrb+++=physical
activity ^nn+nom+++=activity
levels ^nns++++=levels
were ^vbd+bed+vrb++=were
also ^rb++++=also
greater ^jjr+pred+++=greater
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
school ^nn++++=school
environment ^nn+nom+++=environment
( ^zz++++=(
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.01).
01 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
total ^jj+atrb+++=total
minutes ^nns++++=minutes
in ^in++++=in
very ^ql+amp+++=very
easy ^jj+atrb+++=easy
and ^cc+phrs+++=and
vigorous ^jj+atrb+++=vigorous
activity ^nn+nom+++=activity
levels ^nns++++=levels
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
significantly ^rb++++=significantly
between ^in++++=between
settings ^nns++++=settings.
. ^zz++++=EXTRAWORD
