Our ^pp$+pp1+++=Our
study ^nn++++=study
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
predominately ^jj+atrb+++=predominately
Maithili ^np+++??+=Maithili-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
Madhesi ^np+++??+=Madhesi
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
across ^in+pl+++=across
Dhanusha ^np+++??+=Dhanusha
and ^cc++++=and
Mahottari ^np+++??+=Mahottari
districts ^nns++++=districts
in ^in++++=in
Province ^nn++++=Province
2 ^zz++++=2
of ^in++++=of
the ^ati++++=the
lowland ^nn++++=lowland
Terai ^np+++??+=Terai
region ^nn++++=region
of ^in++++=of
Nepal ^np++++=Nepal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
come ^vb++++=come
from ^in+ppvb+++=from
the ^ati++++=the
cluster ^nn+nom+++=cluster
randomized ^vbd+++xvbn+=randomized
controlled ^vbd+++xvbn+=controlled
( ^zz++++=(nonblinded)
nonblinded ^jj+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
Low ^jj+atrb+++=Low
Birth ^nn++++=Birth
Weight ^nn++++=Weight
South ^np+pl+++=South
Asia ^np++++=Asia
Trial ^nn++++=Trial
( ^zz++++=(LBWSAT),
lbwsat ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
conducted ^j+++xvbn+=conducted
between ^in++++=between
2013 ^cd++++=2013
and ^cc++++=and
2015 ^cd++++=2015
( ^zz++++=(Saville
saville ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Saville ^np+++??+=Saville
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=);
; ^zz++++=EXTRAWORD
Trial ^nn++++=Trial
registration ^nn+nom+++=registration:
: ^zz++++=EXTRAWORD
Isrctn75964374 ^np+++??+=ISRCTN75964374.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
trial ^nn++++=trial
assessed ^vwbn+++xvbn+=assessed
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
pregnancy ^nn++++=pregnancy
interventions ^nns+nom+++=interventions
on ^in++++=on
birth ^nn++++=birth
weight ^nn++++=weight
and ^cc++++=and
weight ^nn++++=weight-for-age
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
age ^nn++++=EXTRAWORD
z ^zz++++=z
- ^zz++++=-score
score ^nn++++=EXTRAWORD
in ^in++++=in
children ^nns++++=children
aged ^jj+atrb+++=aged
0 ^zz++++=0
16 ^cd++++=16
months ^nns++++=months.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trial ^nn++++=trial
protocol ^nn++++=protocol
and ^cc++++=and
main ^jjb+atrb+++=main
results ^nns++++=results
are ^vb+ber+aux++=are
described ^vpsv++agls+xvbnx+=described
elsewhere ^rb++++=elsewhere
( ^zz++++=(Saville
saville ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Saville ^np+++??+=Saville
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Style ^nn++++=Style
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Briefly ^rb+cnj+++=Briefly,
, ^zz++++=EXTRAWORD
all ^abn++++=all
married ^jj+atrb++xvbn+=married
women ^nns++++=women
aged ^jj++++=aged
10 ^cd++++=10
49 ^cd++++=49
years ^nns++++=years
residing ^vwbg+++xvbg+=residing
in ^in++++=in
80 ^cd++++=80
Village ^nn+nom+++=Village
Development ^nn+nom+++=Development
Committees ^nns+nom+++=Committees
( ^zz++++=(VDC)
vdc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
two ^cd++++=two
selected ^xvbn+++xvbn+=selected
districts ^nns++++=districts
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
not ^xnot++not++=not
had ^vb+hv+vrb++=had
operative ^jj+atrb+++=operative
family ^nn++++=family
planning ^vwbg+++xvbg+=planning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
husbands ^nns++++=husbands
had ^vb+hv+aux++=had
not ^xnot++not++=not
had ^vb+hv+aux++=had
vasectomy ^nn+++??+=vasectomy
were ^vbd+bed+vrb++=were
eligible ^jj+pred+++=eligible
to ^to+jcmp+++=to
participate ^nn+nom+++=participate
in ^in++++=in
the ^ati++++=the
trial ^nn++++=trial.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
64 ^cd++++=64
000 ^nn+++??+=000
eligible ^jj+atrb+++=eligible
women ^nns++++=women
consented ^vbd+++xvbn+=consented
to ^in++++=to
menstrual ^jj+atrb+++=menstrual
monitoring ^nvbg+++xvbg+=monitoring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
25 ^cd++++=25
090 ^nn+++??+=090
pregnant ^jj+atrb+++=pregnant
women ^nns++++=women
were ^vbd+bed+aux++=were
recruited ^vpsv++agls+xvbnx+=recruited
into ^in++++=into
the ^ati++++=the
trial ^nn++++=trial
( ^zz++++=(Saville
saville ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
Population ^nn+nom+++=Population
clusters ^nns+nom+++=clusters
were ^vbd+bed+aux++=were
randomized ^vpsv++agls+xvbnx+=randomized
to ^to++++=to
one ^pn++++=one
of ^in++++=of
four ^cd++++=four
arms ^nns++++=arms:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Participatory ^np+++??+=Participatory
Learning ^vwbg+++xvbg+=Learning
and ^cc++++=and
Action ^nn++++=Action
( ^zz++++=(PLA)
pla ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
behavior ^nn++++=behavior
change ^nn++++=change
approach ^nn++++=approach
in ^in++++=in
Women ^np++++=Women's
's ^$++++=EXTRAWORD
Groups ^nns++++=Groups,
, ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pla ^np+++??+=PLA
with ^in++++=with
unconditional ^jj+atrb+++=unconditional
cash ^nn++++=cash
transfers ^nns+nom+++=transfers,
, ^zz++++=EXTRAWORD
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pla ^np+++??+=PLA
with ^in++++=with
a ^at++++=a
fortified ^nn++++=fortified
blended ^vbd+++xvbn+=blended
food ^nn++++=food
supplement ^nn+nom+++=supplement,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
( ^zz++++=(d)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
a ^at++++=a
control ^nn++++=control
group ^nn++++=group
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
access ^nn++++=access
to ^in++++=to
usual ^jj+atrb+++=usual
government ^nn+nom+++=Government
of ^in++++=of
nepal ^np++++=Nepal
health ^nn++++=health
services ^nns++++=services.
. ^zz++++=EXTRAWORD
