Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Birth ^nn++++=Birth
seasonality ^nn+nom+++=seasonality
is ^vbz+bez+vrb++=is
to ^in++++=to
a ^at++++=a
large ^jj+atrb+++=large
extent ^nn++++=extent
related ^vbd+++xvbn+=related
to ^in++++=to
maternal ^jj+atrb+++=maternal
employment ^nn+nom+++=employment
status ^nn++++=status.
. ^zz++++=EXTRAWORD
Employed ^jj+atrb++xvbn+=Employed
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
normally ^rb+down+++=normally
more ^rbr++++=more
affected ^vpsv++by+xvbn+=affected
by ^in++++=by
the ^ati++++=the
seasonality ^nn+nom+++=seasonality
of ^in++++=of
work ^nn++++=work
calendar ^nn++++=calendar
than ^in++++=than
the ^ati++++=the
unemployed ^jj++++=unemployed,
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
higher ^jjr+atrb+++=higher
conception ^nn+nom+++=conception
rates ^nns++++=rates
structured ^vbd+++xvbn+=structured
around ^rp++++=around
holidays ^nns++++=holidays.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
may ^md+pos+++=may
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
change ^nn++++=change
of ^in++++=of
seasonal ^jj+atrb+++=seasonal
pattern ^nn++++=pattern
in ^in++++=in
Spain ^np++++=Spain
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
other ^ap++++=other
European ^jj+atrb+++=European
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
specifically ^rb++splt++=specifically
driven ^vpsv++by+xvbnx+=driven
by ^in++++=by
the ^ati++++=the
progressive ^jj+atrb+++=progressive
higher ^jjr+atrb+++=higher
participation ^nn+nom+++=participation
of ^in++++=of
women ^nns++++=women
in ^in++++=in
labor ^nn++++=labor
market ^nn++++=market.
. ^zz++++=EXTRAWORD
