Our ^pp$+pp1+++=Our
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
mechanisms ^nns+nom+++=mechanisms
can ^md+pos+++=can
adapt ^vb++++=adapt
single ^jj+atrb+++=single
regulatory ^nn++++=regulatory
landscapes ^nns++++=landscapes
to ^in++++=to
host ^nn++++=host
multiple ^nn++++=multiple
expression ^nn++++=expression
programs ^nns+++??+=programs
in ^in++++=in
evolution ^nn+nom+++=evolution.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
thus ^rb+cnj+++=thus
globally ^rb++++=globally
quantified ^jj+++xvbn+=quantified
how ^wrb+who+++=how
pervasive ^jj++++=pervasive
such ^abl++++=such
conflicting ^jj+atrb+++=conflicting
expression ^nn++++=expression
is ^vbz+bez+vrb++=is
in ^in++++=in
regulatory ^nn++++=regulatory
landscapes ^nns++++=landscapes
genome ^jj+++??+=genome
wide ^jj++++=wide
with ^in++++=with
available ^jj++++=available
Hi ^uh++++=Hi-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
and ^cc++++=and
Fantom5 ^np+++??+=FANTOM5
expression ^nn++++=expression
data ^nns++++=data
( ^zz++++=(
Figure ^np++++=Figure
6 ^zz++++=6
; ^zz++++=;
Bonev ^np+++??+=Bonev
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
25 ^cd++++=25.
. ^zz++++=EXTRAWORD
Bonev ^np+++??+=Bonev,
, ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
Cohen ^np++++=Cohen,
, ^zz++++=EXTRAWORD
N.m ^np+++??+=N.M.
. ^zz++++=EXTRAWORD
Szabo ^np+++??+=Szabo,
, ^zz++++=EXTRAWORD
Q ^zz++++=Q.
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Multiscale ^np+++??+=Multiscale
3d ^cd++++=3D
genome ^nn+++??+=genome
rewiring ^vwbg+++xvbg+=rewiring
during ^in++++=during
mouse ^nn++++=mouse
neural ^jj+atrb+++=neural
development ^nn+nom+++=development
Cell ^nn++++=Cell.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
171 ^cd++++=171
: ^zz++++=:557-572.e24
557 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
572.e24 ^cd++++=EXTRAWORD
Full ^jj+atrb+++=Full
Text ^nn++++=Text
Full ^jj+atrb+++=Full
Text ^nn++++=Text
( ^zz++++=(PDF)
pdf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
( ^zz++++=(568)
568 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Google ^np+++??+=Google
Scholar ^nn++++=Scholar
; ^zz++++=;
Consortium ^nn++++=Consortium
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
44 ^cd++++=44.
. ^zz++++=EXTRAWORD
Fantom ^np+++??+=FANTOM
Consortium ^nn++++=Consortium
and ^cc++++=and
the ^ati++++=the
Riken ^np+++??+=RIKEN
Pmi ^np+++??+=PMI
and ^cc++++=and
Clst ^np+++??+=CLST
( ^zz++++=(DGT)
dgt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Kawaji ^np+++??+=Kawaji,
, ^zz++++=EXTRAWORD
H ^zz++++=H.
. ^zz++++=EXTRAWORD
