Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Objective ^jj+atrb+++=Objective
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
inclinometers ^nns+nom+++=inclinometers
are ^vb+ber+vrb++=are
the ^ati++++=the
gold ^nn++++=gold-standard
- ^zz++++=EXTRAWORD
standard ^jj++++=EXTRAWORD
for ^in++++=for
measuring ^xvbg+++xvbg+=measuring
total ^jj+atrb+++=total
sedentary ^nn+nom+++=sedentary
time ^nn++++=time
but ^cc++++=but
they ^pp3a+pp3+++=they
typically ^rb++++=typically
cannot ^md+pos+not++=cannot
capture ^vb++++=capture
contextual ^jj+atrb+++=contextual
information ^nn+nom+++=information
or ^cc++++=or
determine ^vb++++=determine
which ^whp+who+++=which
specific ^jj+atrb+++=specific
behaviors ^nns++++=behaviors
are ^vb+ber+aux++=are
taking ^vbg+++xvbgx+=taking
place ^nn++++=place.
. ^zz++++=EXTRAWORD
Subjective ^jj+atrb+++=Subjective
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
questionnaires ^nns++++=questionnaires
and ^cc++++=and
24 ^cd++++=24
hours ^nns++++=hours-recall
- ^zz++++=EXTRAWORD
recall ^vb+vprv+tht0++=EXTRAWORD
methods ^nns++++=methods
can ^md+pos+++=can
provide ^vb+vsua+++=provide
measurements ^nns+nom+++=measurements
of ^in++++=of
time ^nn++++=time
spent ^vbd+++xvbn+=spent
in ^in++++=in
specific ^jj+atrb+++=specific
sedentary ^nn+nom+++=sedentary
behaviors ^nns++++=behaviors
but ^cc++++=but
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
measurement ^nn+nom+++=measurement
error ^nn++++=error
and ^cc++++=and
response ^nn++++=response
bias ^nn++++=bias.
. ^zz++++=EXTRAWORD
