Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
intakes ^nns++++=intakes
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
mothers ^nns++++=mothers
of ^in++++=of
sons ^npt++++=sons
compared ^vbd+++xvbn+=compared
with ^in++++=with
daughters ^nns++++=daughters,
, ^zz++++=EXTRAWORD
both ^abx++++=both
preconceptually ^nn+++??+=preconceptually
and ^cc++++=and
during ^in++++=during
pregnancy ^nn++++=pregnancy
( ^zz++++=(Mathews
mathews ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008
; ^zz++++=;
Tamimi ^np+++??+=Tamimi
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Chile ^np+++??+=Chile,
, ^zz++++=EXTRAWORD
fetal ^nn+++??+=fetal
growth ^nn++++=growth
of ^in++++=of
boys ^nns++++=boys
was ^vbd+bedz+aux++=was
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
maternal ^jj+atrb+++=maternal
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
whereas ^cs+sub+++=whereas
that ^cs+sub+++=that
of ^in++++=of
girls ^nns++++=girls
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
males ^nns++++=males
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
than ^in++++=than
girls ^nns++++=girls
to ^to++++=to
be ^vbi++vrb++=be
growth ^nn++++=growth-limited
- ^zz++++=EXTRAWORD
limited ^jj+++xvbn+=EXTRAWORD
due ^jj++++=due
to ^in+jcmp+++=to
maternal ^jj+atrb+++=maternal
nutritional ^jj+atrb+++=nutritional
restrictions ^nns++++=restrictions
( ^zz++++=(Lampl
lampl ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
