Neonatal ^np+nom++??+=Neonatal
anthropometric ^nn++++=anthropometric
values ^nns++++=values
were ^vbd+bed+aux++=were
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
those ^dt+dem+++=those
measured ^jj+++xvbn+=measured
< ^zz++++=<8
8 ^zz++++=EXTRAWORD
days ^nns++++=days
after ^in++++=after
birth ^nn++++=birth.
. ^zz++++=EXTRAWORD
Maternal ^jj+atrb+++=Maternal
height ^nn++++=height
was ^vbd+bedz+aux++=was
categorized ^vpsv++agls+xvbnx+=categorized
into ^in++++=into
three ^cd++++=three
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
cutoffs ^nns+++??+=cutoffs
for ^in++++=for
short ^jj+atrb+++=short
stature ^nn++++=stature
of ^in++++=of
< ^zz++++=<145
145 ^cd++++=EXTRAWORD
cm ^nnu++++=cm
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
15th ^cd++++=15th
centile ^nn+++??+=centile)
) ^zz++++=EXTRAWORD
and ^cc++++=and
145 ^cd++++=145
148 ^cd++++=148
cm ^nnu++++=cm
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
30th ^cd++++=30th
centile ^nn+++??+=centile).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Maternal ^jj+atrb+++=Maternal
Bmi ^np+++??+=BMI
was ^vbd+bedz+aux++=was
categorized ^vpsv++agls+xvbnx+=categorized
into ^in++++=into
four ^cd++++=four
groups ^nns++++=groups
in ^in++++=in
early ^jj++++=early
( ^zz++++=(<19.0,
< ^zz++++=EXTRAWORD
19.0 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
19.0 ^cd+date+++=19.0
20.49 ^cd++++=20.49,
, ^zz++++=EXTRAWORD
20.5 ^cd++++=20.5
21.99 ^cd++++=21.99,
, ^zz++++=EXTRAWORD
22 ^cd++++=22+
+ ^zz++++=EXTRAWORD
kg ^nnu++++=kg/m
2 ^zz++++=2
) ^zz++++=)
and ^cc++++=and
late ^jj++++=late
( ^zz++++=(<21,
< ^zz++++=EXTRAWORD
21 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
21 ^cd++++=21
22.49 ^cd++++=22.49,
, ^zz++++=EXTRAWORD
22.5 ^cd++++=22.5
23.99 ^cd++++=23.99,
, ^zz++++=EXTRAWORD
24 ^cd++++=24+
+ ^zz++++=EXTRAWORD
kg ^nnu++++=kg/m
2 ^zz++++=2
) ^zz++++=)
pregnancy ^nn++++=pregnancy
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
to ^to++++=to
differentiate ^nn+nom+++=differentiate
thinness ^nns+nom+++=thinness,
, ^zz++++=EXTRAWORD
normal ^jj+atrb+++=normal
weight ^nn++++=weight
and ^cc++++=and
lower ^jjr+atrb+++=lower
and ^cc+phrs+++=and
upper ^jjb+atrb+++=upper
levels ^nns++++=levels
of ^in++++=of
overweight ^nn++++=overweight.
. ^zz++++=EXTRAWORD
