Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
a ^at++++=a
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
rhythm ^nn++++=rhythm
pattern ^nn++++=pattern
has ^vbz+hvz+aux++=has
taken ^vprf+++xvbnx+=taken
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
last ^jj+atrb+++=last
decades ^nns++++=decades
in ^in++++=in
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
from ^in++++=from
a ^at++++=a
birth ^nn++++=birth
rate ^nn++++=rate
pick ^nn++++=pick
in ^in++++=in
February ^nr+nom+++=February
April ^nr++++=April
in ^in++++=in
1940 ^cd+date+++=1940
1960 ^cd+date+++=1960
to ^in++++=to
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
pattern ^nn++++=pattern
during ^in++++=during
1990 ^cd+date+++=1990
2000 ^cd++++=2000
( ^zz++++=(Cancho-Candela
cancho ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
candela ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=)
to ^in++++=to
a ^at++++=a
birth ^nn++++=birth
rate ^nn++++=rate
pick ^nn++++=pick
in ^in++++=in
August ^nr++++=August
October ^nr++++=October
during ^in++++=during
2016 ^cd++++=2016
2019 ^cd++++=2019.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
new ^jj+atrb+++=new
seasonal ^jj+atrb+++=seasonal
pattern ^nn++++=pattern
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
driven ^vpsv++by+xvbnx+=driven
by ^in++++=by
low ^jj++++=low-medium
- ^zz++++=EXTRAWORD
medium ^jjb++++=EXTRAWORD
educated ^jj+atrb++xvbn+=educated
employed ^jj+atrb++xvbn+=employed
mothers ^nns+nom+++=mothers
and ^cc++++=and
factors ^nns++++=factors
related ^vbd+++xvbn+=related
to ^in++++=to
maternal ^jj+atrb+++=maternal
labor ^nn++++=labor
activity ^nn+nom+++=activity
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
relevant ^jj+atrb+++=relevant
sociodemographic ^nn++++=sociodemographic
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
birth ^nn++++=birth
seasonality ^nn+nom+++=seasonality,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
might ^md+pos+++=might
hypothesize ^vb++++=hypothesize
that ^tht+vcmp+++=that
women ^nns++++=women's
's ^$++++=EXTRAWORD
participation ^nn+nom+++=participation
in ^in++++=in
labor ^nn++++=labor
force ^nn++++=force
could ^md+pos+++=could
be ^vb+be+aux++=be
playing ^vbg+++xvbgx+=playing
a ^at++++=a
major ^jj+atrb+++=major
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
seasonal ^nn++++=seasonal
change ^vb++++=change
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
Spain ^np++++=Spain.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
last ^ap++++=last
half ^abn++++=half
century ^nn++++=century,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
labor ^nn++++=labor
market ^nn++++=market
has ^vbz+hvz+aux++=has
experienced ^vprf+++xvbnx+=experienced
important ^jj+atrb+++=important
changes ^nns++++=changes
regarding ^in++++=regarding
women ^nns++++=women
participation ^nn+nom+++=participation:
: ^zz++++=EXTRAWORD
women ^nns++++=women's
's ^$++++=EXTRAWORD
activity ^nn+nom+++=activity
rate ^nn++++=rate
has ^vbz+hvz+aux++=has
increased ^vprf+++xvbnx+=increased
in ^in++++=in
Spain ^np++++=Spain
from ^in++++=from
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
in ^in++++=in
1977 ^cd+date+++=1977
to ^to++++=to
53 ^cd++++=53%
% ^zz++++=EXTRAWORD
in ^in++++=in
2016 ^cd++++=2016
2019 ^cd++++=2019
according ^in++++=according
to ^in++++=to
Spanish ^jj+atrb+++=Spanish
Labor ^np+++??+=Labor
Force ^nn++++=Force
Survey ^nn++++=Survey.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
time ^nn++++=time,
, ^zz++++=EXTRAWORD
fecundity ^nn+nom+++=fecundity
index ^nn++++=index
has ^vbz+hvz+aux++=has
varied ^vprf+++xvbnx+=varied
from ^in++++=from
2.8 ^cd++++=2.8
children ^nns++++=children
average ^jj+atrb+++=average
