Chi ^np+++??+=Chi-squared
- ^zz++++=EXTRAWORD
squared ^jj+atrb++xvbn+=EXTRAWORD
tests ^nns++++=tests
were ^vbd+bed+aux++=were
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
adverse ^jj+atrb+++=adverse
birth ^nn++++=birth
outcomes ^nns+++??+=outcomes
in ^in++++=in
association ^nn+nom+++=association
with ^in++++=with
maternal ^jj+atrb+++=maternal
age ^nn++++=age
groups ^nns++++=groups
or ^cc++++=or
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
previous ^jj+atrb+++=previous
pregnancies ^nns++++=pregnancies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
sons ^nns++++=sons
by ^in++++=by
maternal ^jj+atrb+++=maternal
anthropometric ^nn++++=anthropometric
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
assess ^vb++++=assess
age ^nn++++=age
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
short ^jj+atrb+++=short
stature ^nn++++=stature,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
high ^jj+atrb+++=high
bmi ^np++++=BMI
in ^in++++=in
early ^jj+atrb+++=early/late
pregnancy ^nn++++=pregnancy.
. ^zz++++=EXTRAWORD
