Objectives ^nns++++=Objectives:
: ^zz++++=EXTRAWORD
The ^ati++++=The
degree ^nn++++=degree
of ^in++++=of
sexual ^jj+atrb+++=sexual
stature ^nn++++=stature
difference ^nn++++=difference
( ^zz++++=(SSD),
ssd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
ratio ^nn++++=ratio
of ^in++++=of
male ^nn++++=male
to ^in++++=to
female ^nn++++=female
height ^nn++++=height,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
argued ^vpsv++agls+xvbnx+=argued
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
living ^xvbg+++xvbg+=living
standards ^nns++++=standards
based ^vwbn+++xvbn+=based
on ^in++++=on
evidence ^nn++++=evidence
that ^tht+rel+++=that
physical ^jj+atrb+++=physical
growth ^nn++++=growth
for ^in++++=for
males ^nns++++=males
is ^vbz+bez+vrb++=is
more ^rbr++++=more
sensitive ^jj+pred+++=sensitive
to ^in++++=to
environmental ^jj+atrb+++=environmental
fluctuations ^nns++++=fluctuations.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
resource ^nn++++=resource-poor
- ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
degree ^nn++++=degree
of ^in++++=of
Ssd ^np+++??+=SSD
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi++vrb++=be
relatively ^rb++++=relatively
low ^jj+pred+++=low.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
comparatively ^rb++splt++=comparatively
assess ^vbi++++=assess
Ssd ^np+++??+=SSD
in ^in++++=in
medieval ^jj+atrb+++=medieval
London ^np++++=London
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
repeated ^jj+atrb++xvbn+=repeated
famine ^nn++++=famine
events ^nns++++=events
and ^cc++++=and
other ^ap++++=other
environmental ^jj+atrb+++=environmental
stressors ^nns+++??+=stressors
before ^in++++=before
the ^ati++++=the
Black ^jj+atrb+++=Black
Death ^nn++++=Death
( ^zz++++=(BD)
bd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
improved ^jj+atrb++xvbn+=improved
living ^jj+atrb++xvbg+=living
conditions ^nns++++=conditions
that ^tht+rel+obj++=that
characterized ^nn++++=characterized
the ^ati++++=the
post ^nn++++=post-Black
- ^zz++++=EXTRAWORD
black ^jj+atrb+++=EXTRAWORD
death ^nn++++=Death
period ^nn++++=period.
. ^zz++++=EXTRAWORD
