Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
The ^ati++++=The
trend ^nn++++=trend
of ^in++++=of
increasing ^xvbg+++xvbg+=increasing
body ^nn++++=body
height ^nn++++=height
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
the ^ati++++=the
studied ^jj+atrb++xvbn+=studied
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
unlike ^in++++=unlike
body ^nn++++=body
mass ^nn++++=mass
and ^cc++++=and
Bmi ^np+++??+=BMI,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rate ^nn++++=rate
of ^in++++=of
increase ^nn++++=increase
in ^in++++=in
body ^nn++++=body
height ^nn++++=height
was ^vbd+bedz+vrb++=was
lower ^jjr+pred+++=lower
than ^in++++=than
in ^in++++=in
the ^ati++++=the
preceding ^jj+atrb++xvbg+=preceding
years ^nns++++=years.
. ^zz++++=EXTRAWORD
A ^at++++=A
decrease ^nn++++=decrease
in ^in++++=in
body ^nn++++=body
mass ^nn++++=mass
and ^cc++++=and
Bmi ^np+++??+=BMI
is ^vbz+bez+aux++=is
correlated ^vpsv++agls+xvbnx+=correlated
with ^in++++=with
an ^at++++=an
improvement ^nn+nom+++=improvement
in ^in++++=in
motor ^nn++++=motor
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
above ^jjb+atrb+++=above
parameters ^nns+nom+++=parameters
leads ^nns++++=leads
to ^in++++=to
a ^at++++=a
significant ^jj+atrb+++=significant
decline ^nn++++=decline
in ^in++++=in
all ^rb++++=all
evaluated ^vpsv++agls+xvbn+=evaluated
motor ^nn++++=motor
abilities ^nns+nom+++=abilities.
. ^zz++++=EXTRAWORD
