Drawing ^nvbg+++xvbg+=Drawing
largely ^rb++++=largely
on ^in++++=on
Wolfe ^np++++=Wolfe's
's ^$++++=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
contemporary ^nn++++=contemporary
theorizations ^nns+++??+=theorizations
of ^in++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism
within ^in++++=within
cultural ^jj+atrb+++=cultural
studies ^nns++++=studies
are ^vb+ber+vrb++=are
characterized ^nn+++??+=characterized
by ^in++++=by
four ^cd++++=four
principles ^nns++++=principles:
: ^zz++++=EXTRAWORD
( ^zz++++=(
a ^at++++=a
) ^zz++++=)
Settler ^nn++++=Settler
colonialism ^nn++++=colonialism
is ^vbz+bez+vrb++=is
a ^at++++=a
structure ^nn++++=structure
rather ^rb++++=rather
than ^in++++=than
an ^at++++=an
event ^nn++++=event,
, ^zz++++=EXTRAWORD
( ^zz++++=(
b ^zz++++=b
) ^zz++++=)
settler ^nn++++=settler
colonialism ^nn++++=colonialism
requires ^vbz++++=requires
the ^ati++++=the
dispossession ^nn+++??+=dispossession
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
( ^zz++++=(
c ^zz++++=c
) ^zz++++=)
settler ^nn++++=settler
colonialism ^nn++++=colonialism
is ^vbz+bez+aux++=is
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
a ^at++++=a
triadic ^nn+++??+=triadic
relationship ^nn++++=relationship
among ^in++++=among
settler ^nn++++=settler,
, ^zz++++=EXTRAWORD
Indigenous ^jj++++=Indigenous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chattel ^jj+atrb++??+=chattel
slave ^nn++++=slave,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(
d ^zz++++=d
) ^zz++++=)
cultural ^jj+atrb+++=cultural
productions ^nns++++=productions
remain ^vb++++=remain
complicit ^nn+++??+=complicit
in ^in++++=in
the ^ati++++=the
ongoing ^nn+++??+=ongoing
settlement ^nn++++=settlement
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
lands ^nns++++=lands
( ^zz++++=(
Row ^np++++=Row
& ^zz++++=&
Tuck ^np+++??+=Tuck
2017 ^cd++++=2017
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
6 ^zz++++=6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
much ^ap++++=much
more ^ql++++=more
can ^md+pos+++=can
be ^vb+be+aux++=be
said ^vpsv++agls+xvbnx+=said
about ^in++++=about
the ^ati++++=the
logic ^nn++++=logic
of ^in++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism
as ^in++++=as
a ^at++++=a
system ^nn++++=system
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Coombes ^np+++??+=Coombes
2006 ^cd++++=2006
, ^zz++++=,
Row ^nn++++=Row
& ^zz++++=&
Tuck ^np+++??+=Tuck
2017 ^cd++++=2017
, ^zz++++=,
A ^at++++=A.
. ^zz++++=EXTRAWORD
Simpson ^np++++=Simpson
2011 ^cd++++=2011
, ^zz++++=,
Smith ^np++++=Smith
2012 ^cd++++=2012
, ^zz++++=,
Sturn ^np+++??+=Sturn
2017 ^cd++++=2017
) ^zz++++=),
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
facets ^nns++++=facets
of ^in++++=of
the ^ati++++=the
current ^jj+atrb+++=current
body ^nn++++=body
of ^in++++=of
cultural ^jj+atrb+++=cultural
studies ^nns++++=studies
research ^nn++++=research
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+vrb++=be
more ^rbr++++=more
productively ^nn+++??+=productively
integrated ^vwbn+++xvbn+=integrated
into ^in++++=into
archaeological ^jj+atrb+++=archaeological
investigations ^nns++++=investigations
of ^in++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
racialized ^nn+++??+=racialized
relationships ^nns++++=relationships
between ^in++++=between
land ^nn++++=land
and ^cc++++=and
labor ^nn+++??+=labor
posited ^nn+++??+=posited
by ^in++++=by
Wolfe ^np++++=Wolfe
gestures ^nns++++=gestures
toward ^in++++=toward
a ^at++++=a
new ^jj+atrb+++=new
historiographical ^nn+++??+=historiographical
approach ^nn++++=approach
that ^tht+rel+obj++=that
bridges ^nns++++=bridges
archaeological ^jj+atrb+++=archaeological
studies ^nns++++=studies
of ^in++++=of
economic ^jj++++=economic,
, ^zz++++=EXTRAWORD
political ^jj++++=political,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
processes ^nns++++=processes
among ^in++++=among
Indigenous ^jj+atrb+++=Indigenous
and ^cc+phrs+++=and
Black ^jj+atrb+++=Black
communities ^nns++++=communities
