Depending ^vbg+++xvbg+=Depending
on ^in++++=on
the ^ati++++=the
research ^nn++++=research
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
solution ^nn+nom+++=solution
to ^in++++=to
this ^dt+dem+++=this
challenge ^nn++++=challenge
is ^vbz+bez+aux++=is
to ^to++++=to
collect ^vbi++++=collect
data ^nns++++=data
from ^in++++=from
each ^dt++++=each
willing ^jj+atrb+++=willing
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
recruited ^xvbn+++xvbn+=recruited
regardless ^rb++++=regardless
of ^in++++=of
her ^pp$+pp3+++=her
current ^jj+atrb+++=current
cycling ^jj+atrb++xvbg+=cycling
status ^nn++++=status.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
strategy ^nn++++=strategy
was ^vbd+bedz+aux++=was
successfully ^rb++splt++=successfully
used ^vpsv++++=used
to ^in++++=to
test ^nn++++=test
hypotheses ^nns+nom+++=hypotheses
regarding ^in++++=regarding
menstrual ^jj+atrb+++=menstrual
hut ^nn++++=hut
visits ^nns++++=visits
and ^cc++++=and
menstrual ^jj++++=menstrual
cycling ^jj+++xvbg+=cycling
in ^in++++=in
the ^ati++++=the
Dogon ^np+++??+=Dogon
( ^zz++++=(Strassmann,
strassmann ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1996a ^cd++++=1996a
, ^zz++++=,
1997 ^cd+date+++=1997
) ^zz++++=)
and ^cc++++=and
to ^to++++=to
investigate ^nn+nom+++=investigate
rates ^nns++++=rates
of ^in++++=of
pregnancy ^nn++++=pregnancy
loss ^nn++++=loss
in ^in++++=in
Turkana ^np+++??+=Turkana
( ^zz++++=(Leslie
leslie ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993
, ^zz++++=,
1996 ^cd+date+++=1996
) ^zz++++=)
and ^cc++++=and
Bangladeshi ^np+++??+=Bangladeshi
populations ^nns+nom+++=populations
( ^zz++++=(Holman,
holman ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1996 ^cd+date+++=1996
; ^zz++++=;
holman ^np++++=Holman
& ^zz++++=&
wood ^nn++++=Wood,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
) ^zz++++=).
. ^zz++++=EXTRAWORD
