Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Herpesvirus ^np+++??+=Herpesvirus-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
immunosenescence ^nn+++??+=immunosenescence
may ^md+pos+++=may
be ^vb+be+vrb++=be
important ^jj+pred+++=important
to ^to+jcmp+++=to
understanding ^xvbg+++xvbg+=understanding
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease
risk ^nn++++=risk
among ^in++++=among
Shuar ^np+++??+=Shuar.
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
studies ^nns++++=studies
should ^md+nec+++=should
further ^jjb++++=further
explore ^vb++++=explore
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
co ^nn++++=co-infection
- ^zz++++=EXTRAWORD
infection ^nn++++=EXTRAWORD
in ^in++++=in
shaping ^nn++++=shaping
age ^nn++++=age-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
changes ^nns++++=changes
in ^in++++=in
immune ^jj+atrb+++=immune
function ^nn++++=function.
. ^zz++++=EXTRAWORD
