Task ^nn++++=Task-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
analyses ^nns++++=analyses
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
older ^jjr+atrb+++=older
children ^nns++++=children
( ^zz++++=(
Mdn ^np++++=Mdn
= ^zz++++==
14.31 ^cd++++=14.31
s ^zz++++=s)
) ^zz++++=EXTRAWORD
performed ^vbd+++xvbn+=performed
better ^jjr++++=better
than ^in++++=than
younger ^jjr+atrb+++=younger
ones ^cd1s++++=ones
( ^zz++++=(
Mdn ^np++++=Mdn
= ^zz++++==
15.78 ^cd++++=15.78
s ^zz++++=s)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Shuttle ^nn++++=Shuttle
test ^nn++++=test
which ^whp+rel+subj++=which
measures ^vbz++++=measures
the ^ati++++=the
fitness ^nn++++=fitness
domains ^nns++++=domains
of ^in++++=of
speed ^nn++++=speed
and ^cc++++=and
agility ^nn++++=agility
( ^zz++++=(
Q ^zz++++=Q
1,204 ^cd++++=1,204
= ^zz++++==
27.17 ^cd++++=27.17,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.139).
139 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Older ^jjr+atrb+++=Older
children ^nns++++=children
( ^zz++++=(
Q ^zz++++=Q
1,178 ^cd++++=1,178
= ^zz++++==
15.33 ^cd++++=15.33,
, ^zz++++=EXTRAWORD
p ^zz++++=p
= ^zz++++==
. ^zz++++=.040,
040 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.042)
042 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
girls ^nns++++=girls
( ^zz++++=(
Q ^zz++++=Q
1,178 ^cd++++=1,178
= ^zz++++==
4.22 ^cd++++=4.22,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.042)
042 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
performed ^vbd+++xvbn+=performed
better ^jjr++++=better
in ^in++++=in
the ^ati++++=the
Floppy ^np+++??+=Floppy
test ^nn++++=test
which ^whp+rel+obj++=which
measures ^nns++++=measures
fine ^jj+atrb+++=fine
coordination ^nn+++??+=coordination
on ^in++++=on
a ^at++++=a
tool ^nn++++=tool-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
( ^zz++++=(namely
namely ^rb+cnj+++=EXTRAWORD
transitive ^nn+++??+=transitive)
) ^zz++++=EXTRAWORD
action ^nn++++=action.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
boys ^nns++++=boys
and ^cc++++=and
girls ^nns++++=girls
performed ^vwbn+++xvbn+=performed
better ^jjr++++=better
with ^in++++=with
age ^nn++++=age
in ^in++++=in
the ^ati++++=the
Thumb ^nn++++=Thumb
test ^nn++++=test
( ^zz++++=(
Q ^zz++++=Q
1,191 ^cd++++=1,191
= ^zz++++==
df1 ^nn+++??+=df1
= ^zz++++==
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
df2 ^nn+++??+=df2
= ^zz++++==
191 ^cd++++=191,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
partial ^jj++++=partial
2 ^zz++++=2
= ^zz++++==
. ^zz++++=.053)
053 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
measures ^nns++++=measures
fine ^jj+atrb+++=fine
coordination ^nn+++??+=coordination
of ^in++++=of
fingers ^nns++++=fingers
on ^in++++=on
one ^cd1++++=one
hand ^nn++++=hand
without ^in++++=without
holding ^nn++++=holding
a ^at++++=a
tool ^nn++++=tool
( ^zz++++=(namely
namely ^rb+cnj+++=EXTRAWORD
intransitive ^jj+atrb+++=intransitive
action ^nn++++=action).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
