Anthropometry ^np+++??+=Anthropometry,
, ^zz++++=EXTRAWORD
a ^at++++=a
discipline ^nn++++=discipline
currently ^rb++++=currently
under ^in++++=under
active ^jj+atrb+++=active
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
origins ^nns++++=origins
in ^in++++=in
the ^ati++++=the
19th ^cd+date+++=19th
century ^nn++++=century.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
last ^jj+atrb+++=last
quarter ^nn++++=quarter
of ^in++++=of
that ^dt+dem+++=that
century ^nn++++=century,
, ^zz++++=EXTRAWORD
the ^ati++++=the
earliest ^jjt+atrb+++=earliest
initiatives ^nns++++=initiatives
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
Spain ^np++++=Spain
aiming ^vb+++xvbg+=aiming
to ^to+vcmp+++=to
apply ^vbi++++=apply
to ^in++++=to
infancy ^nn++++=infancy
and ^cc++++=and
the ^ati++++=the
school ^nn++++=school
environment ^nn+nom+++=environment
the ^ati++++=the
new ^jj+atrb+++=new
techniques ^nns++++=techniques
of ^in++++=of
study ^nn++++=study
and ^cc++++=and
classification ^nn+nom+++=classification
proposed ^vwbn+++xvbn+=proposed
by ^in++++=by
this ^dt+dem+++=this
science ^nn+nom+++=science
( ^zz++++=(Ortiz
ortiz ^np++++=EXTRAWORD
Garc ^np+++??+=Garc
a ^at++++=a,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
La ^&fw++++=La
Instituci ^np+++??+=Instituci
n ^zz++++=n
Libre ^np+++??+=Libre
de ^&fw++++=de
Ense ^np+++??+=Ense
anza ^nn+++??+=anza
( ^zz++++=(ILE,
ile ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
The ^ati++++=The
Free ^jj+atrb+++=Free
Educational ^jj+atrb+++=Educational
Institution ^nn+nom+++=Institution)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
implement ^nn+nom+++=implement
in ^in++++=in
our ^pp$+pp1+++=our
country ^nn++++=country
the ^ati++++=the
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=EXTRAWORD
school ^npl++++=school
anthropometry ^nn++++=anthropometry,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Paidometry ^np+++??+=Paidometry,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
united ^jj+atrb+++=united
pedagogical ^jj+atrb+++=pedagogical
and ^cc+phrs+++=and
anthropological ^jj+atrb+++=anthropological
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
institution ^nn+nom+++=institution
founded ^vbd+++xvbn+=founded
in ^in++++=in
1882 ^cd+date+++=1882
the ^ati++++=the
Museo ^np+++??+=Museo
de ^&fw++++=de
Instrucci ^np+++??+=Instrucci
n ^zz++++=n
P ^zz++++=P
blica ^nn+++??+=blica
, ^zz++++=,
later ^rbr+tm+++=later
renamed ^vbd+++xvbn+=renamed
to ^in++++=to
Museo ^np+++??+=Museo
Pedag ^np+++??+=Pedag
gico ^nn+++??+=gico
Nacional ^np+nom++??+=Nacional
( ^zz++++=(MPN,
mpn ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Public ^jj+atrb+++=Public
Instruction ^nn+nom+++=Instruction
Museum ^nn++++=Museum
and ^cc++++=and
National ^jj+atrb+++=National
Pedagogic ^np+++??+=Pedagogic
Museum ^nn++++=Museum,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
museum ^nn++++=museum
was ^vbd+bedz+aux++=was
created ^vpsv++agls+xvbnx+=created
in ^in++++=in
the ^ati++++=the
image ^nn++++=image
and ^cc++++=and
likeness ^nns+nom+++=likeness
of ^in++++=of
others ^aps++++=others
already ^rb++++=already
existing ^jj++++=existing
in ^in++++=in
europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
