The ^ati++++=The
differential ^jj+atrb+++=differential
growth ^nn++++=growth
of ^in++++=of
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
head ^nn++++=head-trunk
- ^zz++++=EXTRAWORD
trunk ^nn++++=EXTRAWORD
and ^cc++++=and
other ^ap++++=other
body ^nn++++=body
segments ^nns+++??+=segments
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recently ^rb+tm+splt++=recently
studied ^vpsv++agls+xvbn+=studied
in ^in++++=in
populations ^nns++++=populations
living ^vwbg+++xvbg+=living
in ^in++++=in
places ^nn++++=places
associated ^vbd+++xvbn+=associated
to ^in++++=to
diverse ^jj+atrb+++=diverse
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions
( ^zz++++=(Payne,
payne ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kumar ^np++++=Kumar,
, ^zz++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Pomeroy ^np+++??+=Pomeroy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
study ^nn++++=study
the ^ati++++=the
change ^nn++++=change
in ^in++++=in
metacarpal ^nn+++??+=metacarpal
length ^rb++++=length
and ^cc++++=and
sitting ^jj+atrb++xvbg+=sitting
height ^nn++++=height
associated ^vbd+++xvbn+=associated
with ^in++++=with
three ^cd++++=three
measures ^nns++++=measures
of ^in++++=of
overall ^jjb+atrb+++=overall
living ^jj+atrb++xvbg+=living
conditions ^nns++++=conditions
widely ^rb++++=widely
used ^vpsv++by+xvbn+=used
by ^in++++=by
epidemiologists ^nns++++=epidemiologists,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
health ^nn++++=health
researchers ^nns+++??+=researchers,
, ^zz++++=EXTRAWORD
economists ^nns++++=economists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anthropologists ^nns++++=anthropologists:
: ^zz++++=EXTRAWORD
heightand ^nn+++??+=heightand
leg ^nn++++=leg
length ^nn++++=length-for-age
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
age ^nn++++=EXTRAWORD
and ^cc++++=and
maternal ^jj+atrb+++=maternal
education ^nn++++=education.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+vrb++=do
this ^dt+dem+++=this
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
samples ^nns++++=samples
of ^in++++=of
children ^nns++++=children
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
exclude ^vb++++=exclude
any ^dti++++=any
strong ^jj+atrb+++=strong
influence ^nn++++=influence
of ^in++++=of
possible ^jj+atrb+++=possible
genetic ^jj+atrb+++=genetic
or ^cc+phrs+++=or
environmental ^jj+atrb+++=environmental
differences ^nns++++=differences
associated ^vbd+++xvbn+=associated
to ^in++++=to
groups ^nns++++=groups
living ^nn++++=living
in ^in++++=in
different ^jj+atrb+++=different
places ^nns++++=places
or ^cc++++=or
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
