Drawing ^nvbg+++xvbg+=Drawing
conclusions ^nns++++=conclusions
across ^in+pl+++=across
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
resolution ^nn++++=resolution
( ^zz++++=(protein
protein ^nn++++=EXTRAWORD
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
tissues ^nns++++=tissues)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
challenging ^vbg+++xvbgx+=challenging
and ^cc+phrs+++=and
relies ^vbz++++=relies
on ^in++++=on
tools ^nns++++=tools
such ^abl++++=such
as ^ql++++=as
mutant ^nn+++??+=mutant
proteins ^nns+++??+=proteins
or ^cc++++=or
functional ^jj+atrb+++=functional
nanobodies ^nns+++??+=nanobodies.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
these ^dt+pdem+++=these
enable ^vb++++=enable
us ^pp1o+pp1+++=us
to ^in++++=to
target ^nn++++=target
specific ^jj+atrb+++=specific
protein ^nn++++=protein-binding
- ^zz++++=EXTRAWORD
binding ^jj+atrb+++=EXTRAWORD
surfaces ^nns++++=surfaces,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
rule ^vb++++=rule
out ^rp+pl+++=out
that ^cs+sub+++=that
other ^ap++++=other
ligands ^nns+++??+=ligands
use ^nn++++=use
the ^ati++++=the
same ^ap++++=same
surfaces ^nns++++=surfaces
for ^in++++=for
binding ^jj++++=binding
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
could ^md+pos+++=could
also ^rb++++=also
be ^vb+be+aux++=be
affected ^vpsv++agls+xvbnx+=affected.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
mitigated ^nn+++??+=mitigated
this ^dt+dem+++=this
risk ^nn++++=risk
by ^in++++=by
targeting ^nn+++??+=targeting
Unc5 ^np+++??+=Unc5
and ^cc++++=and
Gpc3 ^np+++??+=GPC3
individually ^rb++++=individually
in ^in++++=in
different ^jj+atrb+++=different
experiments ^nns++++=experiments.
. ^zz++++=EXTRAWORD
A ^at++++=A
further ^jjb+atrb+++=further
limitation ^nn++++=limitation
is ^vbz+bez+vrb++=is
that ^cs+sub+++=that
over ^in++++=over-expression
- ^zz++++=EXTRAWORD
expression ^nn++++=EXTRAWORD
of ^in++++=of
proteins ^nns+++??+=proteins
in ^in++++=in
vivo ^rb"++++=vivo
could ^md+pos+++=could
lead ^vb++++=lead
to ^in++++=to
artifacts ^nns+++??+=artifacts.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
our ^pp$+pp1+++=our
mutants ^nns+++??+=mutants
as ^ql++++=as
controls ^nns++++=controls
to ^to++++=to
assess ^vbi++++=assess
for ^in++++=for
such ^abl++++=such
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
interactions ^nns++++=interactions
beyond ^in++++=beyond
those ^dt+dem+++=those
between ^in++++=between
Unc5 ^np+++??+=Unc5-GPC3,
- ^zz++++=EXTRAWORD
gpc3 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example
in ^in++++=in
the ^ati++++=the
stripe ^nn++++=stripe
assays ^nns+++??+=assays.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
enhancing ^vbg+++xvbg+=enhancing
or ^cc++++=or
inhibiting ^jj+atrb+++=inhibiting
Unc5 ^np+++??+=Unc5-GPC3
- ^zz++++=EXTRAWORD
gpc3 ^nn+++??+=EXTRAWORD
interaction ^nn++++=interaction
impairs ^nns+++??+=impairs
neuronal ^nn+++??+=neuronal
migration ^nn++++=migration
without ^in++++=without
affecting ^xvbg+++xvbg+=affecting
neuron ^nn+++??+=neuron
morphology ^nn++++=morphology
or ^cc++++=or
differentiation ^nn++++=differentiation.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
not ^xnot++not++=not
measured ^vbd+++xvbn+=measured
the ^ati++++=the
migration ^nn++++=migration
speed ^nn++++=speed
in ^in++++=in
these ^dt+dem+++=these
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
neuroblastoma ^nn+++??+=neuroblastoma
model ^nn++++=model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distribution ^nn++++=distribution
and ^cc++++=and
expression ^nn++++=expression
levels ^nns++++=levels
of ^in++++=of
