Distances ^nns+nom+++=Distances
from ^in++++=from
Ne ^&fw++++=NE
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
Figures ^nns++++=Figures
S4 ^np+++??+=S4
E ^zz++++=E
and ^cc++++=and
S4f ^np+++??+=S4F
are ^vb+ber+aux++=are
estimated ^vpsv++by+xvbnx+=estimated
by ^in++++=by
computing ^j++++=computing:
: ^zz++++=EXTRAWORD
= ^zz++++==
, ^zz++++=,
where ^wrb+who+whq++=where
is ^vbz+bez+aux++=is
the ^ati++++=the
model ^nn++++=model
Ne ^&fw++++=NE
radius ^nn++++=radius,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
position ^nn+nom+++=position
of ^in++++=of
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
mass ^nn++++=mass
of ^in++++=of
the ^ati++++=the
object ^nn++++=object
and ^cc++++=and
is ^vbz+bez+vrb++=is
the ^ati++++=the
position ^nn+nom+++=position
of ^in++++=of
the ^ati++++=the
Ne ^&fw++++=NE
center ^jjr++++=center.
. ^zz++++=EXTRAWORD
Physical ^jj+atrb+++=Physical
distances ^nns+nom+++=distances
are ^vb+ber+aux++=are
then ^rn+tm+splt++=then
obtained ^vpsv++agls+xvbnx+=obtained
using ^vbg+++xvbg+=using
the ^ati++++=the
mapping ^nn++++=mapping
factor ^nn++++=factor
previously ^rb+tm+++=previously
calculated ^vpsv++agls+xvbn+=calculated
from ^in++++=from
the ^ati++++=the
comparison ^nn++++=comparison
with ^in++++=with
pairwise ^rb++++=pairwise
fish ^nn++++=FISH
distances ^nns+nom+++=distances.
. ^zz++++=EXTRAWORD
