Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
by ^in++++=by
stressing ^xvbg+++xvbg+=stressing
legality ^nn++++=legality,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
constitution ^nn++++=constitution,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
scope ^nn++++=scope
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article
includes ^vb++++=includes
phenomena ^nns++++=phenomena
beyond ^in++++=beyond
those ^dt+dem+++=those
focused ^jj+++xvbn+=focused
on ^in++++=on
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
governance ^nn+++??+=governance.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
do ^vb+do+aux++=do
not ^xnot++not++=not
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
disregard ^vbi++++=disregard
biolegality ^nn+++??+=biolegality's
's ^$++++=EXTRAWORD
normative ^nn+++??+=normative
and ^cc++++=and
normalizing ^nn+++??+=normalizing
dimensions ^nns++++=dimensions
within ^in++++=within
the ^ati++++=the
space ^nn++++=space
of ^in++++=of
governmentality ^nn+++??+=governmentality
or ^cc++++=or
its ^pp$+it+++=its
capacity ^nn++++=capacity
to ^to+ncmp+++=to
probe ^vb++++=probe
the ^ati++++=the
conditions ^nns++++=conditions
of ^in++++=of
life ^nn++++=life's
's ^$++++=EXTRAWORD
legitimacy ^nn++++=legitimacy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
of ^in++++=of
legitimation ^nn+++??+=legitimation
is ^vbz+bez+vrb++=is
central ^jj+pred+++=central
to ^to++++=to
informing ^vbi++++=informing
questions ^nns++++=questions
around ^in++++=around
value ^nn++++=value,
, ^zz++++=EXTRAWORD
commodity ^nn++++=commodity,
, ^zz++++=EXTRAWORD
dignity ^nn++++=dignity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
justice ^nn++++=justice
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
biolegality ^nn+++??+=biolegality.
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area
shows ^nns++++=shows,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
practices ^nns++++=practices
of ^in++++=of
biolegality ^nn+++??+=biolegality
do ^vb+do+aux++=do
not ^xnot++not++=not
always ^rb++++=always
follow ^vb+vprv+++=follow
modern ^jj+atrb+++=modern
binaries ^nns+++??+=binaries
that ^tht+rel+subj++=that
