Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
engaged ^vbd+++xvbn+=engaged
research ^nn++++=research
by ^in++++=by
Indigenous ^jj+atrb+++=Indigenous
scholars ^nns++++=scholars,
, ^zz++++=EXTRAWORD
archaeologists ^nns++++=archaeologists
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
to ^in++++=to
challenge ^nn++++=challenge
settler ^nn++++=settler-colonial
- ^zz++++=EXTRAWORD
colonial ^jj+atrb+++=EXTRAWORD
narratives ^nns++++=narratives
of ^in++++=of
Native ^jj+atrb+++=Native
disappearance ^nn++++=disappearance
by ^in++++=by
documenting ^nn+++??+=documenting
the ^ati++++=the
flexibility ^nn++++=flexibility
of ^in++++=of
traditional ^jj+atrb+++=traditional
social ^jj+atrb+++=social
systems ^nns++++=systems
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resiliency ^nn+++??+=resiliency),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
adaptability ^nn++++=adaptability
of ^in++++=of
Indigenous ^jj+atrb+++=Indigenous
people ^nns++++=people
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
persistence ^nn++++=persistence),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resistance ^nn++++=resistance
to ^in++++=to
settler ^nn++++=settler
power ^nn++++=power
structures ^nns++++=structures
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
survivance ^nn+++??+=survivance).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
refer ^vb++++=refer
to ^in++++=to
these ^dt+dem+++=these
distinct ^jj++++=distinct
yet ^rb++++=yet
overlapping ^jj+atrb++xvbg+=overlapping
approaches ^nns++++=approaches
as ^ql++++=as
presencing ^vb+++??+=presencing
models ^nns++++=models
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
shared ^jj+atrb++xvbn+=shared
emphasis ^nn++++=emphasis
on ^in++++=on
centering ^nn+++??+=centering
Indigenous ^jj+atrb+++=Indigenous
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past
and ^cc++++=and
present ^nn++++=present.
. ^zz++++=EXTRAWORD
In ^in++++=In
Dancing ^nn++++=Dancing
on ^in++++=on
Our ^pp$+pp1+++=Our
Turtle ^np++++=Turtle's
's ^$++++=EXTRAWORD
Back ^jjb++++=Back
, ^zz++++=,
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Simpson ^np++++=Simpson
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
uses ^vbz++++=uses
presencing ^nn+++??+=presencing
to ^to++++=to
refer ^vbi++++=refer
to ^in++++=to
acts ^nns++++=acts
of ^in++++=of
recognition ^nn++++=recognition
and ^cc++++=and
affirmation ^vb++++=affirmation
that ^tht+vcmp+subj++=that
make ^vb++++=make
Indigenous ^jj+atrb+++=Indigenous
lives ^nns++++=lives
visible ^jj++++=visible
within ^in++++=within
systems ^nns++++=systems
of ^in++++=of
asymmetrical ^nn+++??+=asymmetrical
power ^nn++++=power.
. ^zz++++=EXTRAWORD
Presencing ^np+++??+=Presencing
narratives ^nns++++=narratives
push ^vb++++=push
back ^jjb++++=back
against ^in++++=against
settler ^nn++++=settler
stories ^nns++++=stories
of ^in++++=of
absence ^nn++++=absence
and ^cc++++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
doing ^xvbg+++xvbg+=doing
so ^ql++++=so,
, ^zz++++=EXTRAWORD
contribute ^vb++++=contribute
to ^in++++=to
assertions ^nns++++=assertions
of ^in++++=of
indigenous ^jj+atrb+++=Indigenous
sovereignty ^nn++++=sovereignty
and ^cc++++=and
reclamation ^nn++++=reclamation
( ^zz++++=(
vizenor ^np++++=Vizenor
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
