Second ^od++++=Second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
parabolic ^jj+atrb+++=parabolic
equations ^nns+nom+++=equations
were ^vbd+bed+aux++=were
developed ^vpsv++agls+xvbnx+=developed
for ^in++++=for
the ^ati++++=the
values ^nns++++=values
measured ^vbd+++xvbn+=measured
between ^in++++=between
2000 ^cd++++=2000
and ^cc++++=and
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
all ^abn++++=all
speed ^nn++++=speed/agility
tests ^nns++++=tests
( ^zz++++=(8-s
8 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
Shc ^np+++??+=SHC,
, ^zz++++=EXTRAWORD
4 ^zz++++=4
x ^zz++++=x
10 ^cd++++=10
m ^zz++++=m
shuttle ^nn++++=shuttle
run ^vbd+++xvbn+=run,
, ^zz++++=EXTRAWORD
zig ^nn+++??+=zig-zag
- ^zz++++=EXTRAWORD
zag ^nn+++??+=EXTRAWORD
run ^vbd+++xvbn+=run),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
flexibility ^nn+nom+++=flexibility
tests ^nns++++=tests
( ^zz++++=(downward
downward ^jjb+atrb+++=EXTRAWORD
bend ^nn++++=bend,
, ^zz++++=EXTRAWORD
barbell ^nn+++??+=barbell
overhead ^jjb+atrb+++=overhead
trunk ^nn++++=trunk
rotation ^nn+nom+++=rotation),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
strength ^nn++++=strength
tests ^nns++++=tests
( ^zz++++=(standing
standing ^vbg+++xvbg+=EXTRAWORD
broad ^jj+atrb+++=broad
jump ^nn++++=jump,
, ^zz++++=EXTRAWORD
30 ^cd++++=30-s
- ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
sit ^vb++++=sit-ups,
- ^zz++++=EXTRAWORD
ups ^nns"++++=EXTRAWORD
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine
ball ^nn++++=ball
backward ^jj++++=backward
and ^cc++++=and
forward ^rb++++=forward
throws ^vbz++++=throws,
, ^zz++++=EXTRAWORD
pull ^vb++++=pull-ups),
- ^zz++++=EXTRAWORD
ups ^nns"++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
strength ^nn++++=strength
endurance ^nn+nom+++=endurance
and ^cc++++=and
endurance ^nn+nom+++=endurance
tests ^nns++++=tests
( ^zz++++=(1-MBT,
1 ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
mbt ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
3 ^zz++++=3-MBT,
- ^zz++++=EXTRAWORD
mbt ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
12 ^cd++++=12-min
- ^zz++++=EXTRAWORD
min ^nnu++++=EXTRAWORD
rowing ^vwbg+++xvbg+=rowing
ergometer ^jjr+atrb+++=ergometer
test ^nn++++=test).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
foci ^nns++++=foci
of ^in++++=of
the ^ati++++=the
parabola ^nn++++=parabola
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
best ^jjt+atrb+++=best
results ^nns++++=results
of ^in++++=of
motor ^nn++++=motor
tests ^nns++++=tests
were ^vbd+bed+aux++=were
noted ^vpsv++agls+xvbnx+=noted
in ^in++++=in
2006 ^cd++++=2006
( ^zz++++=(Figures
figures ^nns++++=EXTRAWORD
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
