Our ^pp$+pp1+++=Our
results ^nns++++=results
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
when ^wrb+who+++=when
the ^ati++++=the
strategy ^nn++++=strategy
to ^to++++=to
carry ^vbi++++=carry
out ^rp+pl+++=out
the ^ati++++=the
grapho ^nn+++??+=grapho-motor
- ^zz++++=EXTRAWORD
motor ^nn++++=EXTRAWORD
task ^nn++++=task
was ^vbd+bedz+aux++=was
focused ^vpsv++agls+xvbnx+=focused
on ^in++++=on
accuracy ^nn++++=accuracy,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
reduced ^jj+++xvbn+=reduced
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
the ^ati++++=the
graphical ^jj+atrb+++=graphical
task ^nn++++=task
which ^whp+rel+subj++=which
confirms ^vbz+vpub+++=confirms
the ^ati++++=the
finding ^jj+++xvbg+=finding
by ^in++++=by
Giammarco ^np+++??+=Giammarco
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2016 ^cd++++=2016
) ^zz++++=)
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
also ^rb++++=also
Lange ^np+++??+=Lange-K
- ^zz++++=EXTRAWORD
k ^zz++++=EXTRAWORD
ttner ^nn+++??+=ttner,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998
) ^zz++++=)
who ^whp+who+++=who
observed ^vbn+vprv++xvbn+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
slower ^jjr++++=slower
the ^ati++++=the
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
better ^jjr++++=better
is ^vbz+bez+vrb++=is
the ^ati++++=the
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
The ^ati++++=The
speed ^nn++++=speed
accuracy ^nn++++=accuracy
trade ^nn++++=trade-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++agls+xvbnx+=studied
widely ^rb+cnj+++=widely,
, ^zz++++=EXTRAWORD
with ^in++++=with
evidence ^nn++++=evidence
also ^rb++++=also
in ^in++++=in
graphic ^jj+atrb+++=graphic
tasks ^nns++++=tasks
for ^in++++=for
school ^nn++++=school
age ^nn++++=age
children ^nns++++=children
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Smits ^np+++??+=Smits-Engelsman
- ^zz++++=EXTRAWORD
engelsman ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
) ^zz++++=).
. ^zz++++=EXTRAWORD
Looking ^vbg+++xvbg+=Looking
at ^rb++++=at
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
factors ^nns++++=factors
of ^in++++=of
increased ^jj+atrb++xvbn+=increased
accuracy ^nn++++=accuracy,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
refer ^vb++++=refer
to ^in++++=to
Simpson ^np++++=Simpson
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
2017 ^cd++++=2017
) ^zz++++=),
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
suggested ^vprf+++xvbn+=suggested
that ^tht+vcmp+++=that
inhibition ^nn++++=inhibition
is ^vbz+bez+vrb++=is
the ^ati++++=the
key ^jjb+atrb+++=key
ability ^nn++++=ability
that ^tht+rel+subj++=that
enables ^vbz++++=enables
children ^nns++++=children
to ^to++++=to
draw ^vbi++++=draw
recognizable ^jj+atrb+++=recognizable
objects ^nns++++=objects.
. ^zz++++=EXTRAWORD
Inhibition ^nn++++=Inhibition
may ^md+pos+++=may
be ^vb+be+aux++=be
evoked ^vpsv++agls+xvbnx+=evoked,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
stopping ^vbg+++xvbg+=stopping
drawing ^nvbg+++xvbg+=drawing
a ^at++++=a
line ^nn++++=line
of ^in++++=of
overlapping ^xvbg+++xvbg+=overlapping
figures ^nns++++=figures
( ^zz++++=(hidden
hidden ^jj+atrb++xvbn+=EXTRAWORD
line ^nn++++=line
elimination ^nn++++=elimination)
) ^zz++++=EXTRAWORD
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Chen ^np+++??+=Chen
& ^zz++++=&
Holman ^np++++=Holman,
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
; ^zz++++=;
Lange ^np+++??+=Lange-K
- ^zz++++=EXTRAWORD
k ^zz++++=EXTRAWORD
ttner ^nn+++??+=ttner,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
possible ^jj+atrb+++=possible
inhibition ^nn++++=inhibition
requirement ^nn++++=requirement
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here
particularly ^rb++++=particularly
evident ^jj++++=evident
in ^in++++=in
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
further ^jjb+atrb+++=further
research ^nn++++=research
should ^md+nec+++=should
confirm ^vb+vpub+++=confirm
this ^dt+dem+++=this
finding ^jj+++xvbg+=finding
with ^in++++=with
a ^at++++=a
study ^nn++++=study
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
discriminate ^vbi++++=discriminate
slow ^jj++++=slow
vs ^in++++=vs
fast ^jj+atrb+++=fast
tasks ^nns++++=tasks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reason ^nn++++=reason
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
the ^ati++++=the
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
differences ^nns++++=differences
in ^in++++=in
visuo ^nn+++??+=visuo-motor
- ^zz++++=EXTRAWORD
motor ^nn++++=EXTRAWORD
integration ^nn++++=integration.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
controlling ^jj+atrb++xvbg+=controlling
oscillations ^nns++++=oscillations
in ^in++++=in
tracing ^nn+++??+=tracing
performance ^nn++++=performance
varies ^vbz++++=varies
in ^in++++=in
boys ^nns++++=boys
but ^cc++++=but
not ^xnot++not++=not
in ^in++++=in
girls ^nns++++=girls
( ^zz++++=(Giammarco
giammarco ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Tabatabaey ^np+++??+=Tabatabaey-Mashadi
- ^zz++++=EXTRAWORD
mashadi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
development ^nn++++=development
also ^rb++++=also
differs ^vbz++++=differs
between ^in++++=between
boys ^nns++++=boys
and ^cc++++=and
girls ^nns++++=girls
in ^in++++=in
the ^ati++++=the
near ^in+pl+++=near-far
- ^zz++++=EXTRAWORD
far ^rb+pl+++=EXTRAWORD
conceptualization ^nn+++??+=conceptualization
of ^in++++=of
pictorial ^jj+atrb+++=pictorial
space ^nn++++=space
as ^ql++++=as
boys ^nns++++=boys
drew ^vbd+++xvbn+=drew
silhouettes ^nns++++=silhouettes
as ^ql++++=as
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
visible ^jj+pred+++=visible
from ^in++++=from
afar ^rb+cnj+++=afar,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
girls ^nns++++=girls
focused ^vbd+++xvbn+=focused
on ^in++++=on
ornaments ^nns++++=ornaments
that ^tht+rel+subj++=that
