Participants ^nns+nom+++=Participants
in ^in++++=in
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study
achieved ^vwbn+++xvbn+=achieved
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
56 ^cd++++=56
min ^nnu++++=min
of ^in++++=of
Mvpa ^np+++??+=MVPA/day
and ^cc++++=and
611 ^cd++++=611
min ^nnu++++=min
of ^in++++=of
Sed ^np+++??+=SED/day,
compared ^vbd+++xvbn+=compared
with ^in++++=with
6.7 ^cd++++=6.7
min ^nnu++++=min
of ^in++++=of
Mvpa ^np+++??+=MVPA/day
and ^cc++++=and
506 ^cd++++=506
min ^nnu++++=min
of ^in++++=of
Sed ^np+++??+=SED/day
among ^in++++=among
Nhanes ^np+++??+=NHANES
participants ^nns+nom+++=participants,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively
( ^zz++++=(Atienza
atienza ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
healy ^np++++=Healy
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
) ^zz++++=).
. ^zz++++=EXTRAWORD
