Archaeologists ^np+++??+=Archaeologists
studying ^vwbg+++xvbg+=studying
Indigenous ^jj+atrb+++=Indigenous
settler ^nn++++=settler
relationships ^nns++++=relationships
have ^vb+hv+aux++=have
also ^rb++splt++=also
turned ^vprf+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
postmodernist ^nn+++??+=postmodernist
writings ^nns++++=writings
of ^in++++=of
Anishinaabe ^np+++??+=Anishinaabe
author ^nn++++=author
Gerald ^np++++=Gerald
Vizenor ^np+++??+=Vizenor
( ^zz++++=(2008a)
2008a ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
concept ^nn++++=concept
of ^in++++=of
survivance ^nn+++??+=survivance.
. ^zz++++=EXTRAWORD
As ^in++++=As
described ^nn++++=described
by ^in++++=by
Velie ^np+++??+=Velie
( ^zz++++=(2008
2008 ^cd++++=EXTRAWORD
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
148 ^cd++++=148),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
[ ^zz++++=[S]urvivance
s]urvivance ^nn+++??+=EXTRAWORD
connotes ^nns+++??+=connotes
survival ^nn++++=survival
with ^in++++=with
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
implying ^vbg+++xvbg+=implying
activity ^nn++++=activity
rather ^rb++++=rather
than ^in++++=than
passivity ^nn+++??+=passivity,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
aggressive ^jj+atrb+++=aggressive
means ^nn++++=means
not ^xnot++not++=not
only ^rb+down+++=only
to ^to++++=to
stay ^vbi++++=stay
alive ^jj++++=alive
but ^cc++++=but
to ^to++++=to
flourish ^vbi++++=flourish.
. ^zz++++=EXTRAWORD
Survivance ^np+++??+=Survivance
frameworks ^nns++++=frameworks
are ^vb+ber+aux++=are
used ^vpsv++by+xvbnx+=used
by ^in++++=by
archaeologists ^nns++++=archaeologists
to ^to++++=to
renounce ^vbi++++=renounce
totalizing ^nn+++??+=totalizing
narratives ^nns++++=narratives
of ^in++++=of
colonial ^jj+atrb+++=colonial
dominance ^nn++++=dominance,
, ^zz++++=EXTRAWORD
tragedy ^nn++++=tragedy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
victimry ^nn+++??+=victimry.
. ^zz++++=EXTRAWORD
Archaeologies ^np+++??+=Archaeologies
of ^in++++=of
survivance ^nn+++??+=survivance
portray ^vb++++=portray
Indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples
as ^in++++=as
actively ^rb++++=actively
rejecting ^jj+atrb++xvbg+=rejecting
and ^cc+phrs+++=and
surviving ^jj+atrb++xvbg+=surviving
settler ^nn++++=settler
colonialism ^nn++++=colonialism
rather ^rb++++=rather
than ^in++++=than
portraying ^xvbg+++xvbg+=portraying
stories ^nns++++=stories
of ^in++++=of
loss ^nn++++=loss
and ^cc++++=and
absence ^nn++++=absence
( ^zz++++=(
Vizenor ^np++++=Vizenor
1999 ^cd+date+++=1999
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
vii ^nn+++??+=vii).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
growing ^jj+atrb++xvbg+=growing
number ^nn++++=number
of ^in++++=of
archaeologists ^nns++++=archaeologists
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
survivance ^nn+++??+=survivance
to ^to++++=to
examine ^vbi++++=examine
Indigenous ^jj+atrb+++=Indigenous
agency ^nn++++=agency
in ^in+cmpx+++=in
the ^in"++++=the
face ^in"++++=face
of ^in"++++=of
settler ^nn++++=settler
colonialism ^nn++++=colonialism,
, ^zz++++=EXTRAWORD
including ^in++++=including
acts ^nns++++=acts
of ^in++++=of
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
sovereignty ^nn++++=sovereignty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reorganization ^nn++++=reorganization
( ^zz++++=(
Acebo ^np++++=Acebo
& ^zz++++=&
Martinez ^np+++??+=Martinez
2018 ^cd++++=2018
, ^zz++++=,
Kretzler ^np+++??+=Kretzler
2019 ^cd++++=2019
, ^zz++++=,
Mcgovern ^np+++??+=McGovern
2015 ^cd++++=2015
, ^zz++++=,
Silliman ^np+++??+=Silliman
2014 ^cd++++=2014
) ^zz++++=).
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
documenting ^jj+++??+=documenting
different ^jj++++=different
social ^jj++++=social,
, ^zz++++=EXTRAWORD
spatial ^jj++++=spatial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
political ^jj+atrb+++=political
mechanisms ^nns++++=mechanisms
of ^in++++=of
survivance ^nn+++??+=survivance,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
share ^vb++++=share
an ^at++++=an
emphasis ^nn++++=emphasis
on ^in++++=on
collaborative ^nn++++=collaborative
methodologies ^nns++++=methodologies
and ^cc++++=and
capacity ^nn++++=capacity
building ^nn++++=building
among ^in++++=among
indigenous ^jj+atrb+++=Indigenous
nations ^nns++++=nations.
. ^zz++++=EXTRAWORD
