Viewed ^vbd+++xvbn+=Viewed
from ^in++++=from
the ^ati++++=the
perspective ^nn++++=perspective
of ^in++++=of
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
person ^nn++++=person,
, ^zz++++=EXTRAWORD
small ^jj++++=small-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
interactions ^nns++++=interactions
at ^in++++=at
the ^ati++++=the
village ^nn++++=village
level ^nn++++=level
became ^vbd+++xvbn+=became
hypertrophic ^nn+++??+=hypertrophic
across ^in+pl+++=across
continental ^jj++++=continental-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
spaces ^nns++++=spaces
through ^in++++=through
a ^at++++=a
series ^nn++++=series
of ^in++++=of
agentive ^nn+++??+=agentive
actions ^nns++++=actions
by ^in++++=by
both ^abx++++=both
leaders ^nns++++=leaders
and ^cc++++=and
followers ^nns++++=followers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
state ^nn++++=state
did ^vbd+dod+aux++=did
not ^xnot++not++=not
emerge ^vb++++=emerge,
, ^zz++++=EXTRAWORD
as ^ql++++=as
anthropologists ^nns++++=anthropologists
sometimes ^rb++++=sometimes
write ^vb++++=write,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+aux++=was
deliberately ^rb++splt++=deliberately
brought ^vpsv++agls+xvbnx+=brought
into ^in++++=into
being ^xvbg+++xvbg+=being
and ^cc++++=and
sustained ^vpsv++agls+xvbn+=sustained
on ^in++++=on
a ^at++++=a
quotidian ^nn+++??+=quotidian
basis ^nn++++=basis
as ^ql++++=as
individuals ^nns++++=individuals
augmented ^vbd+++xvbn+=augmented
their ^pp$+pp3+++=their
experiences ^nns++++=experiences
of ^in++++=of
village ^nn++++=village
life ^nn++++=life
through ^in++++=through
new ^jj+atrb+++=new
layers ^nns++++=layers
of ^in++++=of
opportunity ^nn++++=opportunity
and ^cc++++=and
constraint ^nn+++??+=constraint.
. ^zz++++=EXTRAWORD
The ^ati++++=The
transitional ^jj+atrb+++=transitional
conditions ^nns++++=conditions
for ^in++++=for
the ^ati++++=the
establishment ^nn++++=establishment
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
are ^vb+ber+aux++=are
challenging ^vbg+++xvbgx+=challenging
to ^to++++=to
discern ^vbi++++=discern
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
occurred ^vbd+++xvbnx+=occurred
prior ^in+cmpx+++=prior
to ^in"++++=to,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
just ^rb+emph+++=just
at ^in+strn+++=at,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
of ^in++++=of
the ^ati++++=the
widespread ^jj+atrb+++=widespread
development ^nn++++=development
of ^in++++=of
script ^nn++++=script.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
archaeology ^nn++++=archaeology,
, ^zz++++=EXTRAWORD
oral ^jj+atrb+++=oral
history ^nn++++=history,
