Affordability ^np+nom++??+=Affordability
is ^vbz+bez+vrb++=is
another ^dt++++=another
key ^jjb+atrb+++=key
dimension ^nn++++=dimension
of ^in++++=of
water ^nn++++=water
insecurity ^nn+nom+++=insecurity.
. ^zz++++=EXTRAWORD
Common ^jj+atrb+++=Common
metrics ^nns++++=metrics
for ^in++++=for
estimating ^xvbg+++xvbg+=estimating
household ^nn++++=household-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
affordability ^nn+nom+++=affordability
include ^vb++++=include:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
water ^nn++++=water
expenditures ^nns++++=expenditures
as ^in++++=as
a ^at++++=a
share ^nn++++=share
of ^in++++=of
household ^nn++++=household
income ^nn++++=income,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
the ^ati++++=the
affordability ^nn+nom+++=affordability
threshold ^nn++++=threshold
is ^vbz+bez+vrb++=is
between ^in++++=between
3 ^zz++++=3%
% ^zz++++=EXTRAWORD
and ^cc++++=and
6 ^zz++++=6%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
cost ^nn++++=cost
of ^in++++=of
equipment ^nn+nom+++=equipment
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
access ^vb++++=access
water ^nn++++=water;
; ^zz++++=EXTRAWORD
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
financial ^jj+atrb+++=financial
and ^cc+phrs+++=and
economic ^jj+atrb+++=economic
costs ^nns++++=costs
as ^ql++++=as
a ^at++++=a
percentage ^nn+nom+++=percentage
of ^in++++=of
annual ^jj+atrb+++=annual
income ^nn++++=income,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
or ^cc++++=or
less ^rbr++++=less
of ^in++++=of
the ^ati++++=the
community ^nn+nom+++=community's
's ^vbz+bez+vrb++0=EXTRAWORD
median ^jj+atrb+++=median
household ^nn++++=household
income ^nn++++=income
( ^zz++++=(Hutton,
hutton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
water ^nn++++=water
bills ^nns++++=bills
are ^vb+ber+vrb++=are
unavailable ^jj+pred+++=unavailable,
, ^zz++++=EXTRAWORD
water ^nn++++=water
affordability ^nn+nom+++=affordability
data ^nns++++=data
are ^vb+ber+aux++=are
often ^rb++splt++=often
collected ^vpsv++agls+xvbnx+=collected
through ^in++++=through
self ^nn++++=self-report
- ^zz++++=EXTRAWORD
report ^vb++++=EXTRAWORD
surveys ^nns++++=surveys
and ^cc++++=and
are ^vb+ber+vrb++=are
vulnerable ^jj+pred+++=vulnerable
to ^to++++=to
recall ^vbi+vprv+++=recall
errors ^nns++++=errors
and ^cc++++=and
other ^ap++++=other
reporting ^vbg+++xvbg+=reporting
biases ^nns++++=biases.
. ^zz++++=EXTRAWORD
