Object ^nn++++=Object:
: ^zz++++=EXTRAWORD
Excess ^nn++++=Excess
weight ^nn++++=weight
( ^zz++++=(Body
body ^nn++++=EXTRAWORD
Mass ^nn++++=Mass
Index ^nn++++=Index
[ ^zz++++=[BMI]
bmi ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
25.0 ^cd++++=25.0
kg ^nnu++++=kg/m
2 ^zz++++=2
) ^zz++++=)
is ^vbz+bez+vrb++=is
a ^at++++=a
major ^jj+atrb+++=major
health ^nn++++=health
issue ^nn++++=issue
worldwide ^nn+++??+=worldwide,
, ^zz++++=EXTRAWORD
including ^in++++=including
in ^in++++=in
Switzerland ^np++++=Switzerland.
. ^zz++++=EXTRAWORD
For ^in++++=For
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
little ^ap++++=little
attention ^nn++++=attention
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
paid ^vpsv++agls+xvbnx+=paid
to ^in++++=to
body ^nn++++=body
height ^nn++++=height
in ^in++++=in
context ^nn++++=context
of ^in++++=of
excess ^jj+atrb+++=excess
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
aim ^nn++++=aim
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
body ^nn++++=body
height ^nn++++=height
as ^in++++=as
a ^at++++=a
co ^nn++++=co-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
for ^in++++=for
excess ^jj+atrb+++=excess
weight ^nn++++=weight
in ^in++++=in
multiple ^jj+atrb+++=multiple
large ^jj+atrb+++=large
nationwide ^jj+atrb+++=nationwide
data ^nns++++=data
sets ^nns++++=sets.
. ^zz++++=EXTRAWORD
