Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
processes ^nns+nom+++=processes
described ^vbd+++xvbn+=described
continue ^vb++++=continue
to ^to++++=to
occur ^vbi++++=occur
many ^ap++++=many
years ^nns++++=years
after ^cs+sub+++=after
the ^ati++++=the
conflict ^nn++++=conflict
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+aux+xvbnx+=been
resolved ^vpsv++agls+xvbnx+=resolved
and ^cc++++=and
can ^md+pos+++=can
affect ^vb++++=affect
even ^rb++++=even
distant ^jj+atrb+++=distant
descendants ^nns+nom+++=descendants
of ^in++++=of
perpetrators ^nns++++=perpetrators
and ^cc++++=and
victims ^nns++++=victims
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bilewicz ^np+++??+=Bilewicz,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
; ^zz++++=;
Imhoff ^np+++??+=Imhoff
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
such ^abl++++=such,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
new ^jj+atrb+++=new
conflicts ^nns++++=conflicts.
. ^zz++++=EXTRAWORD
Finding ^vbg+++xvbg+=Finding
contact ^nn++++=contact
facilitators ^nns++++=facilitators
effective ^jj++++=effective
in ^in++++=in
such ^abl++++=such
contexts ^nns++++=contexts
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
of ^in++++=of
highest ^jjt+atrb+++=highest
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
