Statistically ^rb+cnj+++=Statistically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
likelihood ^nn+nom+++=likelihood
of ^in++++=of
referencing ^xvbg+++xvbg+=referencing
specific ^jj+atrb+++=specific
categories ^nns++++=categories
when ^wrb+who+++=when
belonging ^vbg+++xvbg+=belonging
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
answer ^nn++++=answer
patterns ^nns++++=patterns
for ^in++++=for
parental ^jj+atrb+++=parental
expectations ^nns+nom+++=expectations
was ^vbd+bedz+vrb++=was
significant ^jj+pred+++=significant
for ^in++++=for
reasoning ^xvbg+++xvbg+=reasoning
about ^in++++=about
low ^jj++++=low-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
256.70 ^cd++++=256.70,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001,
001 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reasoning ^nvbg+++xvbg+=reasoning
about ^in++++=about
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
2 ^zz++++=2
( ^zz++++=(6)
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
307.72 ^cd++++=307.72,
, ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001
001 ^nn+++??+=EXTRAWORD
( ^zz++++=(detailed
detailed ^jj+atrb+++=EXTRAWORD
frequencies ^nns++++=frequencies
can ^md+pos+++=can
be ^vb+be+aux++=be
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
Table ^nn++++=Table
S4 ^np+++??+=S4
in ^in++++=in
the ^ati++++=the
supplementary ^jj+atrb+++=supplementary
file ^nn++++=file).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
very ^ql+amp+++=very
clear ^vb++++=clear
patterns ^nns++++=patterns
and ^cc++++=and
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^vb+hv+vrb++=have
specific ^jj+atrb+++=specific
hypotheses ^nns+nom+++=hypotheses
regarding ^in++++=regarding
how ^wrb+who+++=how
the ^ati++++=the
reasonings ^nns+++??+=reasonings
would ^md+prd+++=would
differ ^vb++++=differ
in ^in++++=in
these ^dt+dem+++=these
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
conduct ^nn++++=conduct
follow ^vb+vprv+++=follow-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
Taken ^xvbn+++xvbn+=Taken
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exploratory ^jj+atrb+++=exploratory
post ^nn++++=post-hoc
- ^zz++++=EXTRAWORD
hoc ^jj"+atrb+++=EXTRAWORD
analyses ^nns++++=analyses
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
expectations ^nns+nom+++=expectations
about ^rb++++=about
whether ^cs+who+++=whether
lowand ^nn+++??+=lowand
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents
would ^md+prd+++=would
approve ^vb++++=approve
of ^in++++=of
cross ^jj++++=cross-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
friendship ^nn+nom+++=friendship
were ^vbd+bed+aux++=were
related ^vpsv++agls+xvbnx+=related
to ^in++++=to
their ^pp$+pp3+++=their
differentiated ^jj+atrb+++=differentiated
beliefs ^nns++++=beliefs
about ^in++++=about
social ^jj+atrb+++=social
mobility ^nn+nom+++=mobility
and ^cc++++=and
social ^jj+atrb+++=social
hierarchies ^nns++++=hierarchies.
. ^zz++++=EXTRAWORD
