First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
partially ^rb+down+++=partially
replicate ^nn+nom+++=replicate
previous ^jj+atrb+++=previous
research ^nn++++=research
findings ^nns++++=findings
on ^in++++=on
identity ^nn+nom+++=identity
compatibility ^nn+nom+++=compatibility
and ^cc++++=and
experiences ^nns+nom+++=experiences
of ^in++++=of
discrimination ^nn+nom+++=discrimination.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
Turkish ^jj++++=Turkish
and ^cc+phrs+++=and
Moroccan ^jj++++=Moroccan-origin
- ^zz++++=EXTRAWORD
origin ^nn++++=EXTRAWORD
minority ^nn+nom+++=minority
adolescents ^nns++++=adolescents
in ^in++++=in
Belgian ^jj+atrb+++=Belgian
schools ^nns++++=schools
identified ^vwbn+++xvbn+=identified
fairly ^rb++++=fairly
strongly ^rb+amp+++=strongly
with ^in++++=with
both ^abx++++=both
their ^pp$+pp3+++=their
ethnic ^jj+atrb+++=ethnic
group ^nn++++=group
and ^cc++++=and
as ^in++++=as
Belgians ^nn++++=Belgians.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
replicate ^nn+nom+++=replicate
recent ^jj+atrb+++=recent
findings ^nns++++=findings
on ^in++++=on
the ^ati++++=the
compatibility ^nn+nom+++=compatibility
of ^in++++=of
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identity ^nn+nom+++=identity
among ^in++++=among
immigrant ^nn+nom+++=immigrant-origin
- ^zz++++=EXTRAWORD
origin ^nn++++=EXTRAWORD
German ^jj+atrb+++=German
adolescents ^nns++++=adolescents
( ^zz++++=(Fleischmann
fleischmann ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
results ^nns++++=results
did ^vbd+dod+aux++=did
not ^xnot++not++=not
support ^vb++++=support
Hypothesis ^nn++++=Hypothesis
1 ^zz++++=1;
; ^zz++++=EXTRAWORD
critical ^jj+atrb+++=critical
socialization ^nn+nom+++=socialization
experiences ^nns+nom+++=experiences
of ^in++++=of
discrimination ^nn+nom+++=discrimination
either ^dtx++++=either
individually ^rb++++=individually
or ^cc+phrs+++=or
collectively ^rb++++=collectively
were ^vbd+bed+aux++=were
not ^xnot++not++=not
consistently ^rb++++=consistently
related ^vbd+++xvbn+=related
to ^in++++=to
less ^rbr++++=less
compatible ^jj+atrb+++=compatible
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identities ^nns+nom+++=identities.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
non ^&fw++++=non-significant
- ^zz++++=EXTRAWORD
significant ^jj+atrb+++=EXTRAWORD
result ^nn++++=result
was ^vbd+bedz+aux++=was
qualified ^vpsv++by+xvbnx+=qualified
by ^in++++=by
a ^at++++=a
significant ^jj+atrb+++=significant
interaction ^nn+nom+++=interaction
between ^in++++=between
minority ^nn+nom+++=minority
peer ^nn++++=peer
presence ^nn+nom+++=presence
and ^cc++++=and
minority ^nn+nom+++=minority
discrimination ^nn+nom+++=discrimination
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
paragraph ^nn++++=paragraph
below ^rb++++=below
on ^in++++=on
three ^cd++++=three-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
interaction ^nn+nom+++=interaction
between ^in++++=between
ethnic ^jj+atrb+++=ethnic
identity ^nn+nom+++=identity,
, ^zz++++=EXTRAWORD
school ^nn++++=school
discrimination ^nn+nom+++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
minority ^nn+nom+++=minority
presence ^nn+nom+++=presence).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
