Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
provided ^vbd+vsua++xvbn+=provided
new ^jj+atrb+++=new
data ^nns++++=data
outside ^jjb++++=outside
North ^np+pl+++=North
America ^np++++=America
and ^cc++++=and
Europe ^np++++=Europe
that ^tht+rel+subj++=that
shed ^vprf+++xvbn+=shed
light ^jj++++=light
on ^in++++=on
adolescents ^nns++++=adolescents
perceptions ^nns+nom+++=perceptions
of ^in++++=of
parental ^jj+atrb+++=parental
messages ^nns+nom+++=messages
about ^in++++=about
peer ^nn++++=peer
friendships ^nns+nom+++=friendships
that ^tht+rel+obj++=that
cross ^nn++++=cross
Ses ^np+++??+=SES
boundaries ^nns++++=boundaries
( ^zz++++=(high
high ^jj+atrb+++=EXTRAWORD
and ^cc+phrs+++=and
low ^jj+atrb+++=low
Ses ^np+++??+=SES),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
these ^dt+dem+++=these
perceptions ^nns+nom+++=perceptions
reveal ^vb+vprv+++=reveal
adolescents ^nns++++=adolescents
views ^nns++++=views
about ^in++++=about
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
and ^cc++++=and
reputation ^nn+nom+++=reputation.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
insights ^nns++++=insights
from ^in++++=from
Nepal ^np++++=Nepal
provide ^vb+vsua+++=provide
new ^jj+atrb+++=new
research ^nn++++=research
questions ^nns+nom+++=questions
given ^vwbn+++xvbn+=given
that ^dt+dem+++=that
Ses ^np+++??+=SES
biases ^nns+++??+=biases
exist ^vb++++=exist
in ^in++++=in
North ^np+pl+++=North
America ^np++++=America
and ^cc++++=and
Europe ^np++++=Europe
regarding ^in++++=regarding
upward ^jjb+atrb+++=upward
mobility ^nn+nom+++=mobility.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
dramatic ^jj+atrb+++=dramatic
variability ^nn+nom+++=variability
exists ^vbz++++=exists
regarding ^in++++=regarding
Ses ^np+++??+=SES
in ^in++++=in
the ^ati++++=the
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
( ^zz++++=(Smeeding,
smeeding ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
about ^in++++=about
whether ^cs+who+++=whether
adolescents ^nns++++=adolescents
perceive ^vb+vprv+++=perceive
ses ^np++++=SES
as ^in++++=as
a ^at++++=a
barrier ^nn++++=barrier
for ^in++++=for
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
