Examining ^vbg+++xvbg+=Examining
psychological ^jj+atrb+++=psychological
processes ^nns+nom+++=processes
without ^in++++=without
some ^dti++++=some
reference ^nn+nom+++=reference
to ^to++++=to
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
might ^md+pos+++=might
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
discourses ^nns++++=discourses,
, ^zz++++=EXTRAWORD
structures ^nns++++=structures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
practices ^nns++++=practices
created ^vwbn+++xvbn+=created
by ^in++++=by
elites ^nns++++=elites
presents ^vbz++++=presents
an ^at++++=an
account ^nn++++=account
of ^in++++=of
psychological ^jj+atrb+++=psychological
processes ^nns+nom+++=processes
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
oversimplified ^vpsv++agls+xvbnx+=oversimplified
and ^cc++++=and
convenient ^jj++++=convenient
for ^in++++=for
elites ^nns++++=elites
( ^zz++++=(Maniates,
maniates ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001
; ^zz++++=;
Shove ^nn++++=Shove,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
As ^ql++++=As
another ^dt++++=another
example ^nn++++=example,
, ^zz++++=EXTRAWORD
a ^at++++=a
popular ^jj+atrb+++=popular
narrative ^nn++++=narrative
in ^in++++=in
the ^ati++++=the
psychology ^nn++++=psychology
of ^in++++=of
climate ^nn+nom+++=climate
change ^nn++++=change
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
existential ^jj++++=existential,
, ^zz++++=EXTRAWORD
ideological ^jj++++=ideological,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
system ^nn++++=system
threats ^nns++++=threats
posed ^vwbn+++xvbn+=posed
by ^in++++=by
climate ^nn+nom+++=climate
change ^nn++++=change
lead ^nn++++=lead
people ^nns++++=people
toward ^in++++=toward
skepticism ^nn+nom+++=skepticism
and ^cc++++=and
denial ^nn++++=denial
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Feinberg ^np+++??+=Feinberg
& ^zz++++=&
Willer ^np+++??+=Willer,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Gifford ^np+++??+=Gifford,
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Ross ^np++++=Ross
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Stoknes ^np+++??+=Stoknes,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
such ^abl++++=such
perspectives ^nns++++=perspectives
are ^vb+ber+vrb++=are
misleading ^jj+pred+++=misleading
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
ignore ^vb++++=ignore
the ^ati++++=the
