Complementing ^np+++??+=Complementing
these ^dt+dem+++=these
public ^jj+atrb+++=public
health ^nn++++=health
and ^cc++++=and
institutional ^jj+atrb+++=institutional
indicators ^nns++++=indicators
are ^vb+ber+vrb++=are
a ^at++++=a
vector ^nn++++=vector
of ^in++++=of
macroeconomic ^nn++++=macroeconomic
and ^cc++++=and
country ^nn++++=country
specific ^jj+atrb+++=specific
indicators ^nns++++=indicators
plausibly ^rb++++=plausibly
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
the ^ati++++=the
stringency ^nn+++??+=stringency
of ^in++++=of
the ^ati++++=the
lockdown ^jj+++xvbn+=lockdown,
, ^zz++++=EXTRAWORD
a ^at++++=a
complete ^jj+atrb+++=complete
list ^nn++++=list
of ^in++++=of
which ^whp+rel+pied++=which
is ^vbz+bez+aux++=is
given ^vpsv++agls+xvbnx+=given
in ^in++++=in
Appendix ^nn++++=Appendix
A ^at++++=A
. ^zz++++=.
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
much ^ap++++=much
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
used ^vwbn+++xvbn+=used
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
available ^jj+pred+++=available
solely ^rb++++=solely
on ^in++++=on
an ^at++++=an
annual ^jj+atrb+++=annual
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
the ^ati++++=the
macroeconomic ^jj+atrb+++=macroeconomic/country
variables ^nns++++=variables
show ^nn++++=show
values ^nns++++=values
current ^nn++++=current
as ^in++++=as
of ^in"++++=of
the ^ati++++=the
last ^ap++++=last
available ^jj++++=available
annual ^jj++++=annual
datapoint ^jj+++xvbn+=datapoint,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
2019 ^cd++++=2019
or ^cc++++=or
2018 ^cd++++=2018
( ^zz++++=(or
or ^cc++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
few ^ap++++=few
instances ^nns+nom+++=instances,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
