Immigrant ^nn++++=Immigrant-origin
- ^zz++++=EXTRAWORD
origin ^nn++++=EXTRAWORD
minority ^nn++++=minority
adolescents ^nns++++=adolescents
combine ^vb++++=combine
their ^pp$+pp3+++=their
common ^jj+atrb+++=common
national ^jj+atrb+++=national
identity ^nn++++=identity
with ^in++++=with
distinct ^jj+atrb+++=distinct
ethnic ^nn+++??+=ethnic
identities ^nns+++??+=identities.
. ^zz++++=EXTRAWORD
Depending ^vbg+++xvbg+=Depending
on ^in++++=on
different ^jj+atrb+++=different
social ^jj+atrb+++=social
ecologies ^nns+++??+=ecologies
they ^pp3a+pp3+++=they
develop ^vb++++=develop
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
compatible ^jj+atrb+++=compatible
dual ^jj+atrb+++=dual
identifications ^nns++++=identifications.
. ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
an ^at++++=an
ecological ^nn+++??+=ecological
approach ^nn++++=approach
to ^in++++=to
ethnic ^nn+++??+=ethnic-racial
- ^zz++++=EXTRAWORD
racial ^jj+atrb+++=EXTRAWORD
socialization ^nn+++??+=socialization
( ^zz++++=(ERS),
ers ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
investigate ^vb++++=investigate
how ^wrb+who+++=how
schools ^nns++++=schools
and ^cc++++=and
peers ^nns++++=peers
as ^ql++++=as
socializing ^vb+++??+=socializing
agents ^nns++++=agents
can ^md+pos+++=can
afford ^vb++++=afford
compatible ^jj+atrb+++=compatible
ethnic ^nn+++??+=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identifications ^nns++++=identifications.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
draw ^vb++++=draw
on ^in+ppvb+++=on
the ^ati++++=the
Children ^nns++++=Children
of ^in++++=of
Immigrants ^nns++++=Immigrants
Longitudinal ^jj+atrb+++=Longitudinal
Survey ^nn++++=Survey
of ^in++++=of
944 ^cd++++=944
Turkish ^jj+atrb+++=Turkish
and ^cc+phrs+++=and
Moroccan ^jj+atrb+++=Moroccan
minority ^nn++++=minority
adolescents ^nns++++=adolescents
in ^in++++=in
229 ^cd++++=229
classrooms ^nns++++=classrooms
across ^in+pl+++=across
55 ^cd++++=55
Belgian ^jj+atrb+++=Belgian
secondary ^jj+atrb+++=secondary
schools ^nns++++=schools
with ^in++++=with
low ^jj++++=low
( ^zz++++=(10%)
10 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
high ^jj+atrb+++=high
minority ^nn++++=minority
presence ^nn++++=presence
( ^zz++++=(60%+).
60%+ ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
average ^jj+atrb+++=average
ethnic ^nn+++??+=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identifications ^nns++++=identifications
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
significantly ^rb++++=significantly
associated ^jj+++xvbn+=associated.
. ^zz++++=EXTRAWORD
In ^in++++=In
support ^nn++++=support
of ^in++++=of
the ^ati++++=the
protective ^jj+atrb+++=protective
role ^nn++++=role
of ^in++++=of
minority ^nn++++=minority
peers ^nns++++=peers,
, ^zz++++=EXTRAWORD
multilevel ^nn+++??+=multilevel
modeling ^nn+++??+=modeling
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
national ^jj++++=national
and ^cc++++=and
ethnic ^nn+++??+=ethnic
identifications ^nns++++=identifications
were ^vbd+bed+vrb++=were
more ^rbr++++=more
compatible ^jj+pred+++=compatible
in ^in++++=in
classrooms ^nns++++=classrooms
with ^in++++=with
more ^rbr++++=more
minority ^nn++++=minority
peers ^nns++++=peers;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
school ^nn++++=school
discrimination ^nn++++=discrimination
undermined ^vwbn+++xvbn+=undermined
compatibility ^nn++++=compatibility
only ^rb+down+++=only
in ^in++++=in
classrooms ^nns++++=classrooms
with ^in++++=with
fewer ^ap++++=fewer
minority ^nn++++=minority
peers ^nns++++=peers.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
conclude ^vb+vprv+++=conclude
that ^tht+vcmp+++=that
minority ^nn++++=minority
peers ^nns++++=peers
are ^vb+ber+vrb++=are
key ^jjb+atrb+++=key
agents ^nns++++=agents
in ^in++++=in
the ^ati++++=the
socialization ^nn++++=socialization
of ^in++++=of
compatible ^jj+atrb+++=compatible
ethnic ^nn++++=ethnic
and ^cc++++=and
national ^jj+atrb+++=national
identities ^nns++++=identities.
. ^zz++++=EXTRAWORD
