Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
considering ^vbg+++xvbg+=considering
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
reasoning ^xvbg+++xvbg+=reasoning
reflects ^vbz++++=reflects
messages ^nns+nom+++=messages
received ^vwbn+++xvbn+=received
by ^in++++=by
parents ^nns++++=parents
and ^cc++++=and
society ^nn++++=society,
, ^zz++++=EXTRAWORD
the ^ati++++=the
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+vrb++=is
also ^rb++++=also
in ^in++++=in
line ^in"++++=line
with ^in"++++=with
previous ^jj+atrb+++=previous
work ^nn++++=work
from ^in++++=from
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
European ^jj+atrb+++=European
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
children ^nns++++=children
from ^in++++=from
high ^jj++++=high-status
- ^zz++++=EXTRAWORD
status ^nn++++=EXTRAWORD
groups ^nns++++=groups
reported ^vbd+vpub++xvbn+=reported
more ^rbr++++=more
negative ^jj+atrb+++=negative
intergroup ^nn+++??+=intergroup
attitudes ^nns++++=attitudes
when ^wrb+who+++=when
their ^pp$+pp3+++=their
parents ^nns++++=parents
also ^rb++++=also
were ^vbd+bed+vrb++=were
negative ^jj+pred+++=negative
about ^in++++=about
intergroup ^nn+++??+=intergroup
attitudes ^nns++++=attitudes,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
compared ^vbd+++xvbn+=compared
to ^in++++=to
low ^jj++++=low-status
- ^zz++++=EXTRAWORD
status ^nn++++=EXTRAWORD
children ^nns++++=children
and ^cc++++=and
their ^pp$+pp3+++=their
parents ^nns++++=parents
( ^zz++++=(Degner
degner ^jjr+atrb+++=EXTRAWORD
& ^zz++++=&
Dalege ^np+++??+=Dalege,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
) ^zz++++=).
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
should ^md+nec+++=should
clarify ^vb++++=clarify
the ^ati++++=the
mechanisms ^nns+nom+++=mechanisms
by ^in++++=by
which ^whp+rel+pied++=which
adolescents ^nns++++=adolescents
learn ^vb+vprv+++=learn
about ^in++++=about
power ^nn++++=power
inequalities ^nns+nom+++=inequalities
through ^in++++=through
socialization ^nn+nom+++=socialization.
. ^zz++++=EXTRAWORD
