Nonetheless ^rb+cnj+++=Nonetheless,
, ^zz++++=EXTRAWORD
South ^nr+pl+++=South
Africa ^np++++=Africa
has ^vbz+hvz+vrb++=has
a ^at++++=a
unique ^jj+atrb+++=unique
constitution ^nn+nom+++=constitution
endorsing ^vwbg+++xvbg+=endorsing
equal ^jj+atrb+++=equal
rights ^nns++++=rights
( ^zz++++=(civil,
civil ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
political ^jj++++=political,
, ^zz++++=EXTRAWORD
social ^jj++++=social
and ^cc+phrs+++=and
economic ^jj++++=economic)
) ^zz++++=EXTRAWORD
for ^in++++=for
persons ^nns++++=persons
with ^in++++=with
disabilities ^nns+nom+++=disabilities
( ^zz++++=(
Government ^np+nom+++=Government
of ^in++++=of
South ^np+pl+++=South
Africa ^np++++=Africa
1996 ^cd+date+++=1996
) ^zz++++=).
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
rights ^nns++++=rights
are ^vb+ber+aux++=are
politically ^rb++splt++=politically
endorsed ^vpsv++agls+xvbnx+=endorsed,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
implementation ^nn+nom+++=implementation
on ^in++++=on
a ^at++++=a
day ^nn++++=day-to-day
- ^zz++++=EXTRAWORD
today ^nr+tm+++=EXTRAWORD
basis ^nn++++=basis
remains ^nns++++=remains
elusive ^jj++++=elusive
in ^in++++=in
many ^ap++++=many
areas ^nns++++=areas
from ^in++++=from
access ^nn++++=access
to ^in++++=to
health ^nn++++=health
care ^vb++++=care
to ^to+vcmp+++=to
right ^nn++++=right
to ^to+ncmp+++=to
employment ^nn+nom+++=employment
( ^zz++++=(
Hussey ^np++++=Hussey
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Wiggett ^np+++??+=Wiggett-Barnard
- ^zz++++=EXTRAWORD
barnard ^np++++=EXTRAWORD
and ^cc++++=and
Swartz ^np+++??+=Swartz
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
state ^nn++++=state
of ^in++++=of
affairs ^nns++++=affairs
leaves ^nns++++=leaves
persons ^nns++++=persons
with ^in++++=with
disabilities ^nns+nom+++=disabilities
vulnerable ^jj++++=vulnerable
and ^cc++++=and
at ^in++++=at
the ^ati++++=the
margins ^nns++++=margins
of ^in++++=of
society ^nn++++=society
reinforcing ^vwbg+++xvbg+=reinforcing
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
vicious ^jj+atrb+++=vicious
circle ^nn++++=circle
of ^in++++=of
disability ^nn+nom+++=disability,
, ^zz++++=EXTRAWORD
unfair ^jj+atrb+++=unfair
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
mental ^jj+atrb+++=mental
health ^nn++++=health
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
