Sociotherapy ^np+++??+=Sociotherapy
is ^vbz+bez+vrb++=is
predicated ^nn+++??+=predicated
upon ^in++++=upon
both ^abx++++=both
conceptualizations ^nns+++??+=conceptualizations
of ^in++++=of
the ^ati++++=the
external ^jj+atrb+++=external
world ^nn++++=world
and ^cc++++=and
regards ^in++++=regards
them ^pp3o+pp3+++=them
as ^in++++=as
more ^rbr++++=more
interdependent ^jj++++=interdependent
and ^cc+phrs+++=and
dynamic ^jj++++=dynamic
than ^in++++=than
psychotherapists ^nns+++??+=psychotherapists
with ^in++++=with
psychological ^jj+atrb+++=psychological
training ^nn++++=training,
, ^zz++++=EXTRAWORD
as ^in++++=as
opposed ^vpsv++agls+xvbn+=opposed
to ^in++++=to
psychosocial ^jj+atrb+++=psychosocial
training ^nn++++=training,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
