Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
to ^in++++=to
better ^jjr++++=better
understand ^vb+vprv+++=understand
the ^ati++++=the
relevance ^nn+nom+++=relevance
of ^in++++=of
this ^dt+dem+++=this
work ^nn++++=work
for ^in++++=for
other ^ap++++=other
types ^nns++++=types
of ^in++++=of
vaccines ^nns++++=vaccines,
, ^zz++++=EXTRAWORD
scholars ^nns++++=scholars
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
consider ^nn+nom+++=consider
replicating ^jj+++xvbg+=replicating
this ^dt+dem+++=this
study ^nn++++=study
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
other ^ap++++=other
( ^zz++++=(voluntary)
voluntary ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
vaccines ^nns++++=vaccines
in ^in++++=in
development ^nn+nom+++=development.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do
so ^rb++++=so
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
researchers ^nns+nom+++=researchers
might ^md+pos+++=might
consider ^nn+nom+++=consider
conducting ^nvbg+++xvbg+=conducting
qualitative ^jj+atrb+++=qualitative
interviews ^nns++++=interviews
with ^in++++=with
vaccine ^nn++++=vaccine
specialists ^nns+nom+++=specialists
to ^to++++=to
determine ^vbi++++=determine
which ^whp+who+++=which
vaccine ^nn++++=vaccine
attributes ^nns++++=attributes
are ^vb+ber+vrb++=are
worth ^in++++=worth
further ^jjb+atrb+++=further
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
conduct ^nn++++=conduct
pre ^nn+++??+=pre-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
interviews ^nns++++=interviews
with ^in++++=with
survey ^nn++++=survey
respondents ^nns++++=respondents
to ^to++++=to
ascertain ^vbi+vprv+++=ascertain
relevant ^jj+atrb+++=relevant
vaccine ^nn++++=vaccine
preferences ^nns+nom+++=preferences.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
elements ^nns+nom+++=elements
of ^in++++=of
the ^ati++++=the
conjoint ^jj+atrb++xvbn+=conjoint
experimental ^jj+atrb+++=experimental
setup ^nn+++??+=setup
would ^md+prd+++=would
almost ^rb+hdg+splt++=almost
certainly ^rb++++=certainly
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
amended ^xvbn+++xvbn+=amended
on ^in++++=on
a ^at++++=a
case ^nn++++=case-by-case
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
hope ^nn++++=hope
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
utility ^nn+nom+++=utility
of ^in++++=of
the ^ati++++=the
paradigm ^nn++++=paradigm
makes ^vbz++++=makes
this ^dt+dem+++=this
an ^at++++=an
ideal ^jj+atrb+++=ideal
approach ^nn++++=approach
for ^in++++=for
future ^jjb+atrb+++=future
work ^nn++++=work.
. ^zz++++=EXTRAWORD
