Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
analyzed ^nn+++??+=analyzed
together ^rb+cnj+++=together,
, ^zz++++=EXTRAWORD
three ^cd++++=three
patterns ^nns++++=patterns
emerged ^vbd+++xvbn+=emerged
that ^dt+pdem+++=that
were ^vbd+bed+aux++=were
clearly ^rb++splt++=clearly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
different ^jj+atrb+++=different
reasoning ^jj+atrb++xvbg+=reasoning
patterns ^nns++++=patterns:
: ^zz++++=EXTRAWORD
both ^abx++++=both
parents ^nns++++=parents
would ^md+prd+++=would
disapprove ^vb++++=disapprove,
, ^zz++++=EXTRAWORD
16 ^cd++++=16%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
both ^abx++++=both
parents ^nns++++=parents
would ^md+prd+++=would
approve ^vb++++=approve,
, ^zz++++=EXTRAWORD
28 ^cd++++=28%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
low ^jj++++=low-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents
would ^md+prd+++=would
want ^vb++++=want
the ^ati++++=the
friendship ^nn++++=friendship
and ^cc++++=and
the ^ati++++=the
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
54 ^cd++++=54%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
half ^abn++++=half
of ^in++++=of
all ^abn++++=all
adolescents ^nns++++=adolescents
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
low ^jj++++=low-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents
would ^md+prd+++=would
want ^vb++++=want
the ^ati++++=the
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
predominantly ^rb++++=predominantly
for ^in++++=for
reasons ^nns++++=reasons
of ^in++++=of
social ^jj+atrb+++=social
mobility ^nn++++=mobility
( ^zz++++=(and
and ^cc++++=EXTRAWORD
moral ^jj++++=moral
concerns ^vbz++++=concerns),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents
would ^md+prd+++=would
be ^vb+be+vrb++=be
pessimistic ^jj+pred+++=pessimistic
because ^cs+cos+++=because
of ^in++++=of
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
and ^cc++++=and
concerns ^nns++++=concerns
about ^in++++=about
reputation ^nn++++=reputation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
adolescents ^nns++++=adolescents
were ^vbd+bed+vrb++=were
positive ^jj+pred+++=positive
about ^in++++=about
both ^abx++++=both
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
expressed ^vbd+vpub++xvbnx+=expressed
beliefs ^nns++++=beliefs
about ^in++++=about
social ^jj+atrb+++=social
mobility ^nn++++=mobility
and ^cc++++=and
moral ^jj+atrb+++=moral
concerns ^nns++++=concerns,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
minority ^nn++++=minority
of ^in++++=of
adolescents ^nns++++=adolescents
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
16 ^cd++++=16%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
pessimistic ^jj+pred+++=pessimistic
about ^in++++=about
both ^abx++++=both
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
voicing ^vbg+++xvbg+=voicing
predominantly ^rb++++=predominantly
social ^jj+atrb+++=social
hierarchies ^nns+++??+=hierarchies
( ^zz++++=(and
and ^cc++++=EXTRAWORD
reputation ^nn++++=reputation
for ^in++++=for
high ^jj++++=high-SES
- ^zz++++=EXTRAWORD
ses ^nns+++??+=EXTRAWORD
parents ^nns++++=parents).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
patterns ^nns++++=patterns
additionally ^jj+atrb++??+=additionally
highlight ^nn++++=highlight
how ^wrb+who+++=how
reasoning ^nvbg+++xvbg+=reasoning
about ^in++++=about
parental ^jj+atrb+++=parental
expectations ^nns++++=expectations
regarding ^in++++=regarding
cross ^jj++++=cross-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
friendship ^nn++++=friendship
reflected ^vbd+vprv++xvbn+=reflected
adolescents ^nns++++=adolescents'
' ^zz++++=EXTRAWORD
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
societal ^nn+++??+=societal
system ^nn++++=system,
, ^zz++++=EXTRAWORD
with ^in++++=with
restrictions ^nns++++=restrictions
on ^in++++=on
social ^jj+atrb+++=social
relationships ^nns++++=relationships
on ^in++++=on
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
beliefs ^nns++++=beliefs
about ^in++++=about
social ^jj+atrb+++=social
mobility ^nn++++=mobility
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
