Particularly ^rb+cnj+++=Particularly,
, ^zz++++=EXTRAWORD
violent ^jj+atrb+++=violent
behavior ^nn++++=behavior
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
or ^cc++++=or
was ^vbd+bedz+aux++=was
previously ^rb+tm+splt++=previously
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
adolescence ^nn+nom+++=adolescence
or ^cc++++=or
in ^in++++=in
a ^at++++=a
juvenile ^jj+atrb+++=juvenile
record ^nn++++=record
indicated ^vbd+vprv++xvbn+=indicated
to ^in++++=to
probation ^nn+nom+++=probation
officers ^nns+nom+++=officers
that ^tht+rel+obj++=that
defendants ^nns+nom+++=defendants
had ^vb+hv+aux++=had
and ^cc++++=and
would ^md+prd+++=would
continue ^vb++++=continue
to ^to++++=to
persist ^nn+nom+++=persist
in ^in++++=in
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
As ^in++++=As
Probation ^nn+nom+++=Probation
Officer ^nn++++=Officer
28 ^cd++++=28
stated ^vbd+vpub++xvbn+=stated,
, ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
started ^vbd+++xvbnx+=started
with ^in++++=with
a ^at++++=a
juvenile ^jj+atrb+++=juvenile
history ^nn++++=history,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they're
're ^vb+ber+aux++0=EXTRAWORD
[ ^zz++++=[going]
going ^vbg+++xvbg+=EXTRAWORD
] ^zz++++=EXTRAWORD
to ^to++++=to
create ^vbi++++=create
an ^at++++=an
adult ^jj+atrb+++=adult
history ^nn++++=history.
. ^zz++++=EXTRAWORD
that ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
i ^pp1a+pp1+++=I
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
