Out ^rp+pl+++=Out-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
Empathy ^np+++??+=Empathy
. ^zz++++=.
Probation ^nn+nom+++=Probation
officers ^nns+nom+++=officers
also ^rb++++=also
exhibited ^xvbn+++xvbn+=exhibited
issues ^nns++++=issues
with ^in++++=with
out ^rp+pl+++=out-group
- ^zz++++=EXTRAWORD
group ^nn++++=EXTRAWORD
empathy ^nn+++??+=empathy
in ^in++++=in
two ^cd++++=two
main ^jjb+atrb+++=main
ways ^nns++++=ways
when ^wrb+who+++=when
discussing ^vbg+++xvbg+=discussing
their ^pp$+pp3+++=their
assessments ^nns+nom+++=assessments
of ^in++++=of
remorse ^nn++++=remorse
displays ^nns++++=displays
by ^in++++=by
defendants ^nns+nom+++=defendants
with ^in++++=with
violence ^nn+nom+++=violence
signals ^nns+nom+++=signals.
. ^zz++++=EXTRAWORD
