Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
theme ^nn++++=theme
narratives ^nns++++=narratives
of ^in++++=of
loss ^nn++++=loss
illustrates ^nns+nom+++=illustrates
that ^cs+sub+++=that
the ^ati++++=the
losses ^nns++++=losses
of ^in++++=of
many ^ap++++=many
communities ^nns+nom+++=communities
in ^in++++=in
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
result ^nn++++=result
not ^xnot++not++=not
only ^rb+down+++=only
from ^in++++=from
climate ^nn+nom+++=climate
change ^nn++++=change
but ^cc++++=but
also ^rb++++=also
its ^pp$+it+++=its
remedies ^nns++++=remedies,
, ^zz++++=EXTRAWORD
exemplified ^xvbn+++xvbn+=exemplified
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
by ^in++++=by
the ^ati++++=the
interconnection ^nn+nom+++=interconnection
of ^in++++=of
wind ^nn++++=wind
power ^nn++++=power
and ^cc++++=and
aluminum ^jj+atrb++??+=aluminum
production ^nn+nom+++=production.
. ^zz++++=EXTRAWORD
Climate ^nn+nom+++=Climate
change ^nn++++=change
produces ^vbz++++=produces
mourning ^nvbg+++xvbg+=mourning
over ^in++++=over
losses ^nns++++=losses,
, ^zz++++=EXTRAWORD
grief ^nn++++=grief
and ^cc++++=and
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
including ^in++++=including
in ^in++++=in
Global ^jj+atrb+++=Global
North ^nr+pl+++=North-settings
- ^zz++++=EXTRAWORD
settings ^nns++++=EXTRAWORD
( ^zz++++=(Adams,
adams ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
Mbembe ^np+++??+=Mbembe
( ^zz++++=(
2020 ^cd++++=2020
) ^zz++++=)
writes ^vbz+vprv+++=writes
that ^tht+vcmp+++=that
as ^ql++++=as
mobility ^nn+nom+++=mobility
ascending ^vwbg+++xvbg+=ascending
trembles ^nns+++??+=trembles,
, ^zz++++=EXTRAWORD
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
anxieties ^nns++++=anxieties
might ^md+pos+++=might
dispose ^vb++++=dispose
people ^nns++++=people
to ^to++++=to
cling ^vbi++++=cling
to ^in++++=to
what ^wdt+who+++=what
seems ^vb+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
if ^cs+cnd+++=if
it ^pp3+it+++=it
leads ^vbz++++=leads
to ^in++++=to
the ^ati++++=the
destruction ^nn+nom+++=destruction
of ^in++++=of
lifeworlds ^nns+++??+=lifeworlds
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
( ^zz++++=(Burman,
burman ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
; ^zz++++=;
Davies ^np++++=Davies,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
senses ^nns++++=senses
of ^in++++=of
urgency ^nn++++=urgency
invade ^vb++++=invade
Gnd ^np+++??+=GND
promoters ^nns+nom+++=promoters
in ^in++++=in
an ^at++++=an
era ^nn++++=era
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
alongside ^in+pl+++=alongside
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene
urgency ^nn++++=urgency,
