Sociotherapists ^np+++??+=Sociotherapists,
, ^zz++++=EXTRAWORD
community ^nn++++=community
activists ^nns++++=activists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
psychotherapists ^nns+++??+=psychotherapists
who ^whp+rel+subj++=who
consider ^vb+vprv+++=consider
the ^ati++++=the
social ^jj+atrb+++=social
etymologies ^nns++++=etymologies
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
view ^vb++++=view
statistical ^jj+atrb+++=statistical
norms ^nns++++=norms
as ^ql++++=as
societal ^vb+++??+=societal
constructions ^nns++++=constructions
that ^tht+rel+obj++=that
change ^nn++++=change
over ^in++++=over
time ^nn++++=time.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
significantly ^rb+cnj+++=significantly,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
norms ^nns++++=norms
can ^md+pos+++=can
be ^vb+be+vrb++=be
operationalized ^nn+++??+=operationalized
in ^in++++=in
harmful ^jj+atrb+++=harmful
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
The ^ati++++=The
psych ^nn+++??+=psych-clinic
- ^zz++++=EXTRAWORD
clinic ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
exception ^nn++++=exception.
. ^zz++++=EXTRAWORD
Norms ^nns++++=Norms
mirror ^nn++++=mirror
the ^ati++++=the
views ^nns++++=views
of ^in++++=of
white ^jj+atrb+++=white
privileged ^jj+atrb+++=privileged
majority ^nn++++=majority
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
As ^ql++++=As
critical ^jj+atrb+++=critical
sociologists ^nns++++=sociologists
have ^vb+hv+aux++=have
noted ^vprf+++xvbnx+=noted
( ^zz++++=(
Pickersgill ^np++++=Pickersgill
2014 ^cd++++=2014
) ^zz++++=),
, ^zz++++=EXTRAWORD
the ^ati++++=the
diagnosis ^nn++++=diagnosis
listed ^vwbn+++xvbn+=listed
in ^in++++=in
the ^ati++++=the
Diagnostic ^np+++??+=Diagnostic
and ^cc++++=and
Statistical ^jj++++=Statistical
Manual ^jj++++=Manual
